Quadrant	Longitude	Latitude	Name	Bogennummer	Sprache
16/25	6,34277	50,06311	RINGHUSCHEID	10029	1
17/25	6,58295	50,04663	MALBERG	10044	1
51/42	15,49524	53,11481	NOWY KLUKOM	1009	1
52/42	15,78185	53,08719	LASKO K CHOSZCZNA	1018	1
18/25	6,84042	50,09033	PANTENBURG	10215	1
53/42	16,08349	53,12516	GOLIN	1023	1
19/25	7,07928	50,09451	BEUREN	10230	1
20/25	7,34404	50,10303	MÖRSDORF	10259	1
21/25	7,633	50,12291	BADENHARD	10275	1
54/42	16,39581	53,11234	NIEKURSKO	1029	1
22/25	7,88739	50,1322	WELTEROD	10300	1
23/25	8,14118	50,13996	BLEIDENSTADT	10315	1
15/26	6,05347	50,20267	ESPELER	10335	1
55/42	16,63215	53,09276	STOBNO	1035	1
16/26	6,31001	50,22124	BRANDSCHEID	10351	1
17/26	6,55753	50,21722	BÜDESHEIM	10368	1
18/26	6,7955	50,23069	WALDKÖNIGEN	10381	1
57/42	17,19502	53,11046	KROSTKOWO	1050	1
19/26	7,0778	50,26048	KALENBORN	10584	1
20/26	7,34445	50,2728	GAPPENACH	10601	1
21/26	7,61816	50,28044	RHENS	10621	1
22/26	7,87712	50,29247	ATTENHAUSEN	10649	1
23/26	8,10998	50,31601	HERINGEN	10663	1
16/27	6,28038	50,38149	HONSFELD	10690	1
17/27	6,54324	50,3815	DAHLEM	10697	1
18/27	6,80584	50,41498	AREMBERG	10709	1
19/27	7,05945	50,41231	HOHENLEIMBACH	10736	1
25/30	8,54797	50,9931	HATZFELD (EDER)	10857	1
32/28	10,4237421	50,7188194	HAINDORF	10974	1
63/46	18,9051	53,70548	ROZPEDZINY	110	1
33/28	10,72904373	50,77061604	SCHWARZWALD	11132	1
34/28	10,96938	50,75547	WIPFRA	11149	1
35/28	11,22809	50,76235	REMDA	11180	1
36/28	11,50488	50,7536	ZEUTSCH	11197	1
37/28	11,73363	50,77235	BREITENHAIN	11212	1
38/28	12,01318	50,78588	BURKERSDORF	11230	1
39/28	12,24437	50,77289	SEELINGSTￃﾄDT	11252	1
32/29	10,42573	50,91165	SEEBACH	11262	1
58/43	17,45996751	53,22049833	DEBENKE	1133	1
59/43	17,73634	53,22735	GLISZCZ	1139	1
33/29	10,68407	50,91991	BOILSTￃﾄDT	11467	1
34/29	10,93186	50,92027	INGERSLEBEN	11485	1
61/43	18,26662	53,22211	CZARZE	1150	1
35/29	11,20701	50,91984	GUTENDORF	11515	1
36/29	11,46177	50,93317	KLEINSCHWABHAUSEN	11539	1
37/29	11,74837	50,93578	THALBￃﾜRGEL	11568	1
62/43	18,56976	53,2111	BIELCZYNY	1157	1
38/29	12,01155	50,92981	BAD KￃﾖSTRITZ	11586	1
39/29	12,26812	50,94846	LUMPZIG	11607	1
63/43	18,85888	53,17872	SIERAKOWO	1162	1
33/25	10,74168	50,23953	GLEISMUTHHAUSEN	11645	1
35/25	11,20975	50,24786	MITWITZ	11673	1
32/25	10,4955	50,24929	AUB	11763	1
51/43	15,50003	53,29161	SOKOLINIEC	1178	1
