Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Chintang	1	Elicited from speaker	Chaŋa kitapko panna regose.		cha-ŋa kitap-ko panna reg-o-s-e	child-ERG book-GEN page tear-[3sA.]3[s]P-PRF-IND.PST	The child has torn the page from the book.
Chintang	2	Naturalistic spoken	Ugoji regadaŋse.		u-goji reg-a-d-a-ŋs-e	3sPOSS-pocket tear-PST-COMPL.ITR-PST-PRF-[3sS.]IND.PST	Her pocket has been torn.
Chintang	3	Elicited from speaker	Maŋa pempak cose.		ma-ŋa pempak c-o-s-e	female-ERG bread eat-[3sA.]3[s]P-PRF-IND.PST	The woman has eaten the bread.
Chintang	4	Naturalistic spoken	Rameseyaŋ cie elo, parsada?		ramese=yaŋ ci-e elo parsada	Rames=also eat-[3sS.]IND.PST or sacrificed.meat	Did Rames also eat sacrificed meat or not?
Chintang	5	Naturalistic spoken	Lakhman heptuŋsuhẽ.		lakhman hept-u-ŋs-u-h-ẽ	Lakhman hug-3P-PRF-3[s]P-1sA-IND.PST	I had hugged Lakhman.
Chintang	6	Elicited from speaker	Maʔmiŋa cha coptose.		maʔmi-ŋa cha copt-o-s-e	person-ERG child look.at-[3sA.]3[s]P-PRF-IND.PST	The man has looked at the child.
Chintang	7	Elicited from speaker	Maʔmiŋa cha khaose.		maʔmi-ŋa cha kha-o-s-e	person-ERG child see-[3sA.]3[s]P-PRF-IND.PST	The man has seen the child.
Chintang	8	Naturalistic spoken	Kocuwaŋa namsoŋse kocuwa ujutho.		kocuwa-ŋa nams-o-ŋs-e kocuwa u-jutho	dog-ERG smell-[3sA.]3[s]P-PRF-IND.PST dog 3sPOSS-dirt	The dog has smelled at a(nother) dog's dirt.
Chintang	9	Naturalistic spoken	Mailakko pen carko namno konei!		maila-ko pen carko nam-no konei	second.son-GEN pants strongly smell-[3sS.]IND.NPST ATTN	Hey, Maila's pants smell really bad!"
Chintang	10	Elicited from speaker	Cha maʔmibeʔã ukipma kadase.		cha maʔmi-beʔ-ã u-kipma kad-a-s-e	child person-LOC-ERG 3sPOSS-fear come.up-PST-PRF-[3sS.]IND.PST	The child has become afraid of the man.
Chintang	11	Elicited from speaker	Maŋa sencak kittoko.		ma-ŋa sencak kitt-o-ko	female-ERG mouse fear-[3sA.]3[s]P-IND.NPST	The woman is afraid of the mouse.
Chintang	12	Elicited from speaker	Maŋa sencak ukipma kattoko.		ma-ŋa sencak u-kipma katt-o-ko	female-ERG mouse 3sPOSS-fear bring.up-[3sA.]3[s]P-IND.NPST	The woman is afraid of the mouse.
Chintang	13	Elicited from speaker	Maʔmiŋa cha kipmettose.		maʔmi-ŋa cha kip-mett-o-s-e	person-ERG child fear-CAUS-[3sA.]3[s]P-PRF-IND.PST	The man has frightened the child.
Chintang	14	Elicited from speaker	Chaŋa maʔmi khaŋma lesose.		cha-ŋa maʔmi khaŋ-ma les-o-s-e	child-ERG person see-INF like-[3sA.]3[s]P-PRF-IND.PST	The child likes the man.
Chintang	15	Elicited from speaker	Maʔmiŋa cha mɨksikhaose.		maʔmi-ŋa cha mɨksi-kha-o-s-e	person-ERG child know-STEM-[3sA.]3[s]P-PRF-IND.PST	The man has come to know the child.
Chintang	16	Naturalistic spoken	Huĩ Khemeŋata nisokota na.		huĩ kheme-ŋa=ta nis-o-ko=ta na	MED Kheme-ERG=FOC know-[3sA.]3[s]P-IND.NPST=FOC TOP	Kheme knows that.
Chintang	17	Elicited from speaker	Debiŋa huŋgo seu mittoko.		debi-ŋa huŋ-go seu mitt-o-ko	Debi-ERG MED-NMLZ apple think.of-[3sA.]3[s]P-IND.NPST	Debi thinks of that apple.
Chintang	18	Elicited from speaker	Maʔmiŋa cha kondose.		maʔmi-ŋa cha kond-o-s-e	person-ERG child search.for-[3sA.]3[s]P-PRF-IND.PST	The man has searched for the child.
Chintang	19	Elicited from speaker	Maŋa cha wahumettose.		ma-ŋa cha wahu-mett-o-s-e	woman-ERG child take.bathe-CAUS-[3sA.]3[s]P-PRF-IND.PST	The woman has washed the child.
Chintang	20	Naturalistic spoken	Abo wachidota naŋ hapcuriŋa.		abo wa-chid-o=ta naŋ hapcur-i-ŋa	now wash-STEM-[3sA.]3[s]P=FOC but crybaby-F-ERG	Now the crybaby is going to wash it.
Chintang	21	Naturalistic spoken	Ippa utecce wadhaptoca!		i-ppa u-tec-ce wa-dhapt-o-c-a	2sPOSS-father 3sPOSS-clothes-ns wash-STEM-[2sA.]3P-3nsP-IMP	Wash your father's clothes!
Chintang	22	Naturalistic spoken	Saŋa walektukuce?		sa-ŋa wa-lekt-u-ku-ce	who-ERG wash-STEM-3O-IND.NPST-[3sA.]3nsP	Who washed them?
Chintang	23	Elicited from speaker	Maŋa cha teiʔ waiʔmettose.		ma-ŋa cha teiʔ waiʔ-mett-o-s-e	woman-ERG child clothes wear-CAUS-[3sA.]3[s]P-PRF-IND.PST	The woman has dressed the child.
Chintang	24	Constructed by native speaker linguist	Bahalaŋa jammai kham khosatte.		bahala-ŋa jammai kham khos-a-tt-e	flood-ERG all soil sweep.away-PST-COMPL.TR-[3sA.3sP.]IND.PST	The flood swept away all the soil.
Chintang	25	Elicited from speaker	Paŋa ma phadose.		pa-ŋa ma phad-o-s-e	man-ERG woman help-[3sA.]3[s]P-PRF-IND.PST	The man has helped the woman.
Chintang	26	Elicited from speaker	Paŋa ma rɨktose.		pa-ŋa ma rɨkt-o-s-e	man-ERG woman follow-[3sA.]3[s]P-PRF-IND.PST	The man has followed the woman.
Chintang	27	Elicited from speaker	Paŋa ma togose.		pa-ŋa ma tog-o-s-e	man-ERG woman get-[3sA.]3[s]P-PRF-IND.PST	The man has come across the woman.
Chintang	28	Naturalistic spoken	Baiʔ anaŋa tubikiya e.		ba-iʔ anaŋa tub-i-ki-ya e	PROX-LOC 1pe meet-1pS-IND.NPST-e or	Here we meet, don't we."
Chintang	29	Naturalistic spoken	Thitta mechacha lambube tubuhẽ.		thitta mechacha lambu-be tub-u-h-ẽ	one girl road-LOC meet-3[s]P-1sA-IND.PST	I met a girl on the road.
Chintang	30	Naturalistic spoken	Aiya, hana payaŋ themma ahandokokha naŋ?		aiya hana pa=yaŋ themma a-hand-o-ko-kha naŋ	oh 2s husband=also why 2[s]A-talk.about-3[s]P-IND.NPST-BGR but	My, why do you talk about (your) husband, too?"
Chintang	31	Naturalistic spoken	Hunce to uhancekenɨŋ.		hun-ce to u-han-ce-ke-nɨŋ	MED-ns DEM.UP 3nsS-talk-d-IND.NPST-NEG	They don't talk up there.
Chintang	32	Elicited from speaker	Paŋa mabeko rɨŋ ukam ludose.		pa-ŋa ma-be-ko rɨŋ u-kam lud-o-s-e	man-ERG woman-LOC-GEN story 3sPOSS-friend tell-[3sA.]3[s]P-PRF-IND.PST	The man told his friend (the story) about the woman.
Chintang	33	Elicited from speaker	Chaŋa maʔmi upheʔwa naktose.		cha-ŋa maʔmi u-pheʔwa nakt-o-s-e	child-ERG person 3sPOSS-money ask.for-[3sA.]3[s]P-PRF-IND.PST	The child has asked the man for money.
Chintang	34	Elicited from speaker	Paŋa ma rattose.		pa-ŋa ma ratt-o-s-e	man-ERG woman shout.at-[3sA.]3[s]P-PRF-IND.PST	The man has shouted at the woman.
Chintang	35	Naturalistic spoken	Bakhrace uraʔno.		bakhra-ce u-raʔ-no	goat-ns 3nsS-shout-IND.NPST	The goats are bleating.
Chintang	36	Elicited from speaker	Paŋa ma katha ludose.		pa-ŋa ma katha lud-o-s-e	man-ERG woman story tell-[3sA.]3[s]P-PRF-IND.PST	The man has told the woman a story.
Chintang	37	Naturalistic spoken	Hou, Syam ubojuŋa "nacuwa" mo ludokokhalo naŋ.		hou syam u-boju-ŋa nacuwa mo lud-o-ko-kha=lo naŋ	AFF Syam 3sPOSS-grandmother-ERG dancer CIT say.to-[3sA.]3[s]P-IND.NPST-BGR=SURP but	Yes, Syam's grandmother says "dancer" to him/calls him a dancer."
Chintang	38	Elicited from speaker	Maŋa pa comcole mo pattose.		ma-ŋa pa comcole mo patt-o-s-e	woman-ERG man idiot CIT call-[3sA.]3[s]P-PRF-IND.PST	The woman has called the man an idiot.
