Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Eastern Armenian	1	Constructed by native speaker linguist	Aʁǯikə keɾav hacʰə.	Աղջիկը կերավ հացը:	aʁǯik-ə keɾa-v hacʰ-ə	girl-def eat.aor-aor.3sg bread-def	The girl ate the bread.
Eastern Armenian	2	Constructed by native speaker linguist	Maɾdə cackecʰ jeɾeχajin cackocʰov.	Մարդը ծածկեց երեխային ծածկոցով:	maɾd-ə cack-ecʰ jeɾeχa-ji-n cackocʰ-ov	man-def cover-aor.3sg child-dat-def blanket-instr	The man covered the child with the blanket.
Eastern Armenian	3	Constructed by native speaker linguist	Maɾdə lcʰɾecʰ bažakə ǯɾov.	Մարդը լցրեց բաժակը ջրով:	maɾd-ə lcʰɾ-ecʰ bažak-ə ǯɾ-ov	man-def fill-aor.3sg glass-def water-instr	The man filled the glass with water.
Eastern Armenian	4	Constructed by native speaker linguist	Maɾdə baɾʒecʰ χotə sajlin.	Մարդը բարձեց խոտը սայլին:	maɾd-ə baɾʒ-ecʰ χot-ə sajl-i-n	man-def load-aor.3sg grass-def cart-dat-def	The man loaded the hay on the cart.
Eastern Armenian	5	Constructed by native speaker linguist	Maɾdə {ʒiun/ʒin} kapecʰ caricʰ.	Մարդը ձիուն (ձին) կապեց ծառից:	maɾd-ə {ʒiu-n/ʒi-n} kap-ecʰ car-icʰ	man-def {horse.dat-def/horse-def} tie-aor.3sg tree-abl	The man tied the horse to the tree.
Eastern Armenian	6	Constructed by native speaker linguist	Maɾdə ǯuɾə lcʰɾecʰ bažakə.	Մարդը ջուրը լցրեց բաժակը:	maɾd-ə ǯuɾ-ə lcʰɾ-ecʰ bažak-ə	man-def water-def fill-aor.3sg glass-def	The man filled (his) glass with water.
Eastern Armenian	7	Constructed by native speaker linguist	Maɾdə ǯuɾə lcʰɾecʰ bažaki meǯ.	Մարդը ջուրը լցրեց բաժակի մեջ:	maɾd-ə ǯuɾ-ə lcʰɾ-ecʰ bažak-i meǯ	man-def water-def fill-aor.3sg glass-gen inside	The man poured the water into the glass.
Eastern Armenian	8	Constructed by native speaker linguist	Maɾdə giɾkʰə dɾecʰ seʁanin.	Մարդը գիրքը դրեց սեղանին:	maɾd-ə giɾkʰ-ə dɾ-ecʰ seʁan-i-n	man-def book-def put-aor.3sg table-dat-def	The man put the book on the table.
Eastern Armenian	9	Constructed by native speaker linguist	Tʁan kʰaɾə patuhanin netecʰ.	Տղան քարը պատուհանին նետեց:	tʁa-n kʰaɾ-ə patuhan-i-n net-ecʰ	boy-def stone-def window-dat-def throw-aor.3sg	The boy threw the stone into the window.
Eastern Armenian	10	Constructed by native speaker linguist	Maɾdə giɾkʰə dɾecʰ seʁani vɾa.	Մարդը գիրքը դրեց սեղանի վրա:	maɾd-ə giɾkʰ-ə dɾ-ecʰ seʁan-i vɾa	man-def book-def put-aor.3sg table-gen on	The man put the book on the table.
Eastern Armenian	11	Constructed by native speaker linguist	Aʁǯikə giɾkʰə beɾecʰ usucʰčʰin.	Աղջիկը գիրքը բերեց ուսուցչին:	aʁǯik-ə giɾkʰ-ə beɾ-ecʰ usucʰčʰ-i-n	girl-def book-def bring-aor.3sg teacher-dat-def	The girl brought the book to the teacher.
Eastern Armenian	12	Constructed by native speaker linguist	Aʁǯikə giɾkʰə taɾav usucʰčʰin.	Աղջիկը գիրքը տարավ ուսուցչին:	aʁǯik-ə giɾkʰ-ə taɾa-v usucʰčʰ-i-n	girl-def book-def bring.aor-aor.3sg teacher-dat-def	The girl carried the book to the teacher.
Eastern Armenian	13	Constructed by native speaker linguist	Aʁǯikə giɾkʰə taɾav dpɾocʰ.	Աղջիկը գիրքը տարավ դպրոց:	aʁǯik-ə giɾkʰ-ə taɾa-v dpɾocʰ	girl-def book-def bring.aor-aor.3sg school	The girl carried the book to school.
Eastern Armenian	14	Constructed by native speaker linguist	Aʁǯikə giɾkʰn uʁaɾkecʰ usucʰčʰin.	Աղջիկը գիրքն ուղարկեց ուսուցչին:	aʁǯik-ə giɾkʰ-n uʁaɾk-ecʰ usucʰčʰ-i-n	girl-def book-def send-aor.3sg teacher-dat-def	The girl sent the book to the teacher.
Eastern Armenian	15	Constructed by native speaker linguist	Aʁǯikə giɾkʰn uʁaɾkecʰ dpɾocʰ.	Աղջիկը գիրքն ուղարկեց ուսուցչին (դպրոց):	aʁǯik-ə giɾkʰ-n uʁaɾk-ecʰ dpɾocʰ	girl-def book-def send-aor.3sg school	The girl sent the book to school.
Eastern Armenian	16	Constructed by native speaker linguist	Aʁǯikə giɾkʰə tvecʰ usucʰčʰin.	Աղջիկը գիրքը տվեց ուսուցչին:	aʁǯik-ə giɾkʰ-ə tv-ecʰ usucʰčʰ-i-n	girl-def book-def give-aor.3sg teacher-dat-def	The girl gave the book to the teacher.
Eastern Armenian	17	Constructed by native speaker linguist	Aʁǯikə giɾkʰə cʰujcʰ tvecʰ usucʰčʰin.	Աղջիկը գիրքը ցույց տվեց ուսուցչին:	aʁǯik-ə giɾkʰ-ə cʰujcʰ tv-ecʰ usucʰčʰ-i-n	girl-def book-def show give-aor.3sg teacher-dat-def	The girl showed the book to the teacher.
Eastern Armenian	18	Constructed by native speaker linguist	Aʁǯikə giɾkʰə stacʰav usucʰčʰicʰ.	Աղջիկը գիրքը ստացավ ուսուցչից:	aʁǯik-ə giɾkʰ-ə stacʰa-v usucʰčʰ-icʰ	girl-def book-def get-aor.3sg teacher-abl	The girl got the book from the teacher.
Eastern Armenian	19	Constructed by native speaker linguist	Aʁǯikə giɾkʰə goʁacʰav usucʰčʰicʰ.	Աղջիկը գիրքը գողացավ ուսուցչից:	aʁǯik-ə giɾkʰ-ə goʁa-cʰ-av usucʰčʰ-icʰ	girl-def book-def steal-aor-3sg teacher-abl	The girl stole the book from the teacher.
Eastern Armenian	20	Constructed by native speaker linguist	Aʁǯikə giɾkʰə tʰakʰcʰɾecʰ usucʰčʰicʰ.	Աղջիկը գիրքը թաքցրեց ուսուցչից:	aʁǯik-ə giɾkʰ-ə tʰakʰcʰɾ-ecʰ usucʰčʰ-icʰ	girl-def book-def hide-aor.3sg teacher-abl	The girl hid the book from the teacher.
Eastern Armenian	21	Constructed by native speaker linguist	Aʁǯikə patrecʰ gɾkʰi eǯə.	Աղջիկը պատռեց գրքի էջը:	aʁǯik-ə patr-ecʰ gɾkʰ-i eǯ-ə	girl-def tear-aor.3sg book-gen page-def	The girl tore the page from the book.
Eastern Armenian	22	Constructed by native speaker linguist	Aʁǯikə gɾkʰicʰ eǯə pokecʰ.	Աղջիկը գրքից էջը պոկեց:	aʁǯik-ə gɾkʰ-icʰ eǯ-ə pok-ecʰ	girl-def book-abl page-def tear-aor.3sg	The girl tore the page from the book.
Eastern Armenian	23	Constructed by native speaker linguist	Aʁǯikə gɾkʰicʰ eǯə patrecʰ.	Աղջիկը գրքից էջը պատռեց:	aʁǯik-ə gɾkʰ-icʰ eǯ-ə patr-ecʰ	girl-def book-abl page-def tear-aor.3sg	The girl tore the page from the book.
Eastern Armenian	24	Constructed by native speaker linguist	Aʁǯikə makʰɾecʰ seʁani pʰošin.	Աղջիկը մաքրեց սեղանի փոշին:	aʁǯik-ə makʰɾ-ecʰ seʁan-i pʰoši-n	girl-def remove-aor.3sg table-gen dirt-def	The girl wiped the dirt from the table.
Eastern Armenian	25	Constructed by native speaker linguist	Aʁǯikə makʰɾecʰ seʁanicʰ pʰošin.	Աղջիկը մաքրեց սեղանից փոշին:	aʁǯik-ə makʰɾ-ecʰ seʁan-icʰ pʰoši-n	girl-def remove-aor.3sg table-abl dirt-def	The girl wiped the dirt from the table.
Eastern Armenian	26	Constructed by native speaker linguist	Tʁan hacʰə ktɾecʰ danakov.	Տղան հացը կտրեց դանակով:	tʁa-n hacʰ-ə ktɾ-ecʰ danak-ov	boy-def bread-def cut-aor.3sg knife-instr	The boy cut the bread with the knife.
Eastern Armenian	27	Constructed by native speaker linguist	Tʁan օʒin kpav pʰajtov.	Տղան օձին կպավ փայտով:	tʁa-n օʒ-i-n kpa-v pʰajt-ov	boy-def snake-dat-def touch-aor.3sg stick-instr	The boy touched the snake with the stick.
Eastern Armenian	28	Constructed by native speaker linguist	Tʁan օʒin haɾvacecʰ pʰajtov.	Տղան օձին հարվածեց փայտով:	tʁa-n օʒ-i-n haɾvac-ecʰ pʰajt-ov	boy-def snake-dat-def hit-aor.3sg stick-instr	The boy hit the snake with the stick.
Eastern Armenian	29	Constructed by native speaker linguist	Tʁan օʒin cececʰ pʰajtov.	Տղան օձին ծեծեց փայտով:	tʁa-n օʒ-i-n cec-ecʰ pʰajt-ov	boy-def snake-dat-def beat-aor.3sg stick-instr	The boy beat the snake with the stick.
