Language_name	Meaning_number	Meaning_label	Verb_form	Alternation_name	Alternation_occurs	Coding_frame_schema
Eastern Armenian	1	EAT	utel	Causative	Marginally	
Eastern Armenian	1	EAT	utel	Causative-Mediopassive	Never	
Eastern Armenian	1	EAT	utel	Contentive	Never	
Eastern Armenian	1	EAT	utel	Internal Object	Never	
Eastern Armenian	1	EAT	utel	Mediopassive	Marginally	
Eastern Armenian	1	EAT	utel	Object Omission	Marginally	
Eastern Armenian	1	EAT	utel	Proprietive	Never	
Eastern Armenian	1	EAT	utel	Reciprocal	Never	
Eastern Armenian	2	HUG	gɾkel	Causative	Never	
Eastern Armenian	2	HUG	gɾkel	Causative-Mediopassive	Never	
Eastern Armenian	2	HUG	gɾkel	Contentive	Never	
Eastern Armenian	2	HUG	gɾkel	Internal Object	Never	
Eastern Armenian	2	HUG	gɾkel	Mediopassive	Regularly	
Eastern Armenian	2	HUG	gɾkel	Object Omission	Never	
Eastern Armenian	2	HUG	gɾkel	Proprietive	Never	
Eastern Armenian	2	HUG	gɾkel	Reciprocal	Never	
Eastern Armenian	3	LOOK AT	najel	Causative	Never	
Eastern Armenian	3	LOOK AT	najel	Causative-Mediopassive	Never	
Eastern Armenian	3	LOOK AT	najel	Contentive	Never	
Eastern Armenian	3	LOOK AT	najel	Internal Object	Never	
Eastern Armenian	3	LOOK AT	najel	Mediopassive	Marginally	
Eastern Armenian	3	LOOK AT	najel	Object Omission	Never	
Eastern Armenian	3	LOOK AT	najel	Proprietive	Never	
Eastern Armenian	3	LOOK AT	najel	Reciprocal	Regularly	1/2-nom V'.subj[1/2]
Eastern Armenian	4	SEE	tesnel	Causative	Never	
Eastern Armenian	4	SEE	tesnel	Causative-Mediopassive	Never	
Eastern Armenian	4	SEE	tesnel	Contentive	Never	
Eastern Armenian	4	SEE	tesnel	Internal Object	Never	
Eastern Armenian	4	SEE	tesnel	Mediopassive	Regularly	
Eastern Armenian	4	SEE	tesnel	Object Omission	Never	
Eastern Armenian	4	SEE	tesnel	Proprietive	Never	
Eastern Armenian	4	SEE	tesnel	Reciprocal	Never	
Eastern Armenian	5	SMELL	hot arnel	Causative	Never	
Eastern Armenian	5	SMELL	hot arnel	Causative-Mediopassive	Never	
Eastern Armenian	5	SMELL	hot arnel	Contentive	Never	
Eastern Armenian	5	SMELL	hot arnel	Internal Object	Never	
Eastern Armenian	5	SMELL	hot arnel	Mediopassive	Never	
Eastern Armenian	5	SMELL	hot arnel	Object Omission	Never	
Eastern Armenian	5	SMELL	hot arnel	Proprietive	Never	
Eastern Armenian	5	SMELL	hot arnel	Reciprocal	Never	
Eastern Armenian	5	SMELL	hototel	Causative	Never	
Eastern Armenian	5	SMELL	hototel	Causative-Mediopassive	Never	
Eastern Armenian	5	SMELL	hototel	Contentive	Never	
Eastern Armenian	5	SMELL	hototel	Internal Object	Never	
Eastern Armenian	5	SMELL	hototel	Mediopassive	Marginally	
Eastern Armenian	5	SMELL	hototel	Object Omission	Never	
Eastern Armenian	5	SMELL	hototel	Proprietive	Never	
Eastern Armenian	5	SMELL	hototel	Reciprocal	Never	
Eastern Armenian	6	FEAR	vaχenal	Causative	Regularly	4-nom 1-dat causV'.subj[4]
Eastern Armenian	6	FEAR	vaχenal	Causative-Mediopassive	Never	
Eastern Armenian	6	FEAR	vaχenal	Contentive	Never	
Eastern Armenian	6	FEAR	vaχenal	Internal Object	Never	
Eastern Armenian	6	FEAR	vaχenal	Mediopassive	Never	
Eastern Armenian	6	FEAR	vaχenal	Object Omission	Never	
Eastern Armenian	6	FEAR	vaχenal	Proprietive	Never	
Eastern Armenian	6	FEAR	vaχenal	Reciprocal	Never	
Eastern Armenian	7	FRIGHTEN	vaχecʰnel	Causative	Never	
Eastern Armenian	7	FRIGHTEN	vaχecʰnel	Causative-Mediopassive	Never	
Eastern Armenian	7	FRIGHTEN	vaχecʰnel	Contentive	Never	
Eastern Armenian	7	FRIGHTEN	vaχecʰnel	Internal Object	Never	
