Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Addressee li + hon insertion	Addressee vbiee insertion	Allative insertion	Ambitransitive	Applicative li insertion	Causative insertion	Distributive locative insertion (specific)	Distributive locative insertion (unspecific)	Elative insertion	External possessor alternation	Instrument insertion	Locative change of state	Locative omission	Object omission	Projected adherence insertion
Emai	1	EAT	e	1, 265	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Regularly	Never	Never	Never	Never
Emai	2	HUG	tutu nwu	2	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	3	LOOK AT	ghoo	3, 256	1 > V > 2	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	4	SEE	miẹ	4	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	5	SMELL	yaa	5, 10	1 > V > 2	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	6	FEAR	ófẹ̀n nwu	6, 7	V>1	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	7	FRIGHTEN	niaa	8, 9	1 > V > 2	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	8	LIKE	ẹghẹn	11, 12	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never
Emai	9	KNOW	ẹẹn	13, 14	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never
Emai	9	KNOW	guẹ	15	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	10	THINK	oo	16	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	11	SEARCH FOR	hoo (1)	17, 186, 187	1 > V > 2	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Emai	12	WASH	khọọ	18, 19, 188, 189	1 > V > 2	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Regularly	Never	Never	Marginally	Never
Emai	12	WASH	kpe (2)	272, 273, 274, 275, 276	1 > V > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Never	Never	Regularly	Never	Never	Never	Never
