Language_name	Meaning_number	Meaning_label	Verb_form	Alternation_name	Alternation_occurs	Coding_frame_schema
Emai	1	EAT	e	Addressee li + hon insertion	Never	
Emai	1	EAT	e	Addressee vbiee insertion	Never	
Emai	1	EAT	e	Allative insertion	Never	
Emai	1	EAT	e	Ambitransitive	Never	
Emai	1	EAT	e	Applicative li insertion	Never	
Emai	1	EAT	e	Causative insertion	Never	
Emai	1	EAT	e	Distributive locative insertion (specific)	Never	
Emai	1	EAT	e	Distributive locative insertion (unspecific)	Never	
Emai	1	EAT	e	Elative insertion	Never	
Emai	1	EAT	e	External possessor alternation	Marginally	
Emai	1	EAT	e	Instrument insertion	Regularly	1>re+4>V'>2
Emai	1	EAT	e	Locative change of state	Never	
Emai	1	EAT	e	Locative omission	Never	
Emai	1	EAT	e	Object omission	Never	
Emai	1	EAT	e	Projected adherence insertion	Never	
Emai	2	HUG	tutu nwu	Addressee li + hon insertion	Never	
Emai	2	HUG	tutu nwu	Addressee vbiee insertion	Never	
Emai	2	HUG	tutu nwu	Allative insertion	Never	
Emai	2	HUG	tutu nwu	Ambitransitive	Never	
Emai	2	HUG	tutu nwu	Applicative li insertion	Never	
Emai	2	HUG	tutu nwu	Causative insertion	Never	
Emai	2	HUG	tutu nwu	Distributive locative insertion (specific)	Never	
Emai	2	HUG	tutu nwu	Distributive locative insertion (unspecific)	Never	
Emai	2	HUG	tutu nwu	Elative insertion	Never	
Emai	2	HUG	tutu nwu	External possessor alternation	Never	
Emai	2	HUG	tutu nwu	Instrument insertion	Never	
Emai	2	HUG	tutu nwu	Locative change of state	Never	
Emai	2	HUG	tutu nwu	Locative omission	Never	
Emai	2	HUG	tutu nwu	Object omission	Never	
Emai	2	HUG	tutu nwu	Projected adherence insertion	Never	
Emai	3	LOOK AT	ghoo	Addressee li + hon insertion	Never	
Emai	3	LOOK AT	ghoo	Addressee vbiee insertion	Never	
Emai	3	LOOK AT	ghoo	Allative insertion	Never	
Emai	3	LOOK AT	ghoo	Ambitransitive	Never	
Emai	3	LOOK AT	ghoo	Applicative li insertion	Regularly	1>V'>2>lí+3
Emai	3	LOOK AT	ghoo	Causative insertion	Never	
Emai	3	LOOK AT	ghoo	Distributive locative insertion (specific)	Never	
Emai	3	LOOK AT	ghoo	Distributive locative insertion (unspecific)	Never	
Emai	3	LOOK AT	ghoo	Elative insertion	Never	
Emai	3	LOOK AT	ghoo	External possessor alternation	Never	
Emai	3	LOOK AT	ghoo	Instrument insertion	Never	
Emai	3	LOOK AT	ghoo	Locative change of state	Never	
Emai	3	LOOK AT	ghoo	Locative omission	Never	
Emai	3	LOOK AT	ghoo	Object omission	Never	
Emai	3	LOOK AT	ghoo	Projected adherence insertion	Never	
Emai	4	SEE	miẹ	Addressee li + hon insertion	Never	
Emai	4	SEE	miẹ	Addressee vbiee insertion	Never	
Emai	4	SEE	miẹ	Allative insertion	Never	
Emai	4	SEE	miẹ	Ambitransitive	Never	
Emai	4	SEE	miẹ	Applicative li insertion	Never	
Emai	4	SEE	miẹ	Causative insertion	Never	
Emai	4	SEE	miẹ	Distributive locative insertion (specific)	Never	
Emai	4	SEE	miẹ	Distributive locative insertion (unspecific)	Never	
Emai	4	SEE	miẹ	Elative insertion	Never	
Emai	4	SEE	miẹ	External possessor alternation	Never	
Emai	4	SEE	miẹ	Instrument insertion	Never	
Emai	4	SEE	miẹ	Locative change of state	Never	
Emai	4	SEE	miẹ	Locative omission	Never	
Emai	4	SEE	miẹ	Object omission	Never	
Emai	4	SEE	miẹ	Projected adherence insertion	Never	
Emai	5	SMELL	yaa	Addressee li + hon insertion	Never	
Emai	5	SMELL	yaa	Addressee vbiee insertion	Never	
Emai	5	SMELL	yaa	Allative insertion	Never	
Emai	5	SMELL	yaa	Ambitransitive	Regularly	2>V'
Emai	5	SMELL	yaa	Applicative li insertion	Never	
Emai	5	SMELL	yaa	Causative insertion	Never	
Emai	5	SMELL	yaa	Distributive locative insertion (specific)	Never	
Emai	5	SMELL	yaa	Distributive locative insertion (unspecific)	Never	
Emai	5	SMELL	yaa	Elative insertion	Never	
Emai	5	SMELL	yaa	External possessor alternation	Never	
Emai	5	SMELL	yaa	Instrument insertion	Never	
Emai	5	SMELL	yaa	Locative change of state	Never	
Emai	5	SMELL	yaa	Locative omission	Never	
Emai	5	SMELL	yaa	Object omission	Never	
Emai	5	SMELL	yaa	Projected adherence insertion	Never	
Emai	6	FEAR	ófẹ̀n nwu	Addressee li + hon insertion	Never	
Emai	6	FEAR	ófẹ̀n nwu	Addressee vbiee insertion	Never	
Emai	6	FEAR	ófẹ̀n nwu	Allative insertion	Never	
Emai	6	FEAR	ófẹ̀n nwu	Ambitransitive	Never	
Emai	6	FEAR	ófẹ̀n nwu	Applicative li insertion	Never	
Emai	6	FEAR	ófẹ̀n nwu	Causative insertion	Regularly	
Emai	6	FEAR	ófẹ̀n nwu	Distributive locative insertion (specific)	Never	
Emai	6	FEAR	ófẹ̀n nwu	Distributive locative insertion (unspecific)	Never	
Emai	6	FEAR	ófẹ̀n nwu	Elative insertion	Never	
Emai	6	FEAR	ófẹ̀n nwu	External possessor alternation	Never	
Emai	6	FEAR	ófẹ̀n nwu	Instrument insertion	Never	
Emai	6	FEAR	ófẹ̀n nwu	Locative change of state	Never	
Emai	6	FEAR	ófẹ̀n nwu	Locative omission	Never	
Emai	6	FEAR	ófẹ̀n nwu	Object omission	Never	
Emai	6	FEAR	ófẹ̀n nwu	Projected adherence insertion	Never	
Emai	7	FRIGHTEN	niaa	Addressee li + hon insertion	Never	
Emai	7	FRIGHTEN	niaa	Addressee vbiee insertion	Never	
Emai	7	FRIGHTEN	niaa	Allative insertion	Never	
Emai	7	FRIGHTEN	niaa	Ambitransitive	Regularly	2>V'
Emai	7	FRIGHTEN	niaa	Applicative li insertion	Never	
Emai	7	FRIGHTEN	niaa	Causative insertion	Never	
Emai	7	FRIGHTEN	niaa	Distributive locative insertion (specific)	Never	
Emai	7	FRIGHTEN	niaa	Distributive locative insertion (unspecific)	Never	
Emai	7	FRIGHTEN	niaa	Elative insertion	Never	
Emai	7	FRIGHTEN	niaa	External possessor alternation	Never	
Emai	7	FRIGHTEN	niaa	Instrument insertion	Never	
Emai	7	FRIGHTEN	niaa	Locative change of state	Never	
Emai	7	FRIGHTEN	niaa	Locative omission	Never	
Emai	7	FRIGHTEN	niaa	Object omission	Never	
Emai	7	FRIGHTEN	niaa	Projected adherence insertion	Never	
Emai	8	LIKE	ẹghẹn	Addressee li + hon insertion	Never	
Emai	8	LIKE	ẹghẹn	Addressee vbiee insertion	Never	
Emai	8	LIKE	ẹghẹn	Allative insertion	Never	
Emai	8	LIKE	ẹghẹn	Ambitransitive	Never	
Emai	8	LIKE	ẹghẹn	Applicative li insertion	Never	
Emai	8	LIKE	ẹghẹn	Causative insertion	Never	
Emai	8	LIKE	ẹghẹn	Distributive locative insertion (specific)	Never	
Emai	8	LIKE	ẹghẹn	Distributive locative insertion (unspecific)	Never	
Emai	8	LIKE	ẹghẹn	Elative insertion	Never	
Emai	8	LIKE	ẹghẹn	External possessor alternation	Never	
Emai	8	LIKE	ẹghẹn	Instrument insertion	Never	
Emai	8	LIKE	ẹghẹn	Locative change of state	Never	
Emai	8	LIKE	ẹghẹn	Locative omission	Never	
Emai	8	LIKE	ẹghẹn	Object omission	Regularly	1>V'
Emai	8	LIKE	ẹghẹn	Projected adherence insertion	Never	
Emai	9	KNOW	ẹẹn	Addressee li + hon insertion	Never	
Emai	9	KNOW	ẹẹn	Addressee vbiee insertion	Never	
Emai	9	KNOW	ẹẹn	Allative insertion	Never	
Emai	9	KNOW	ẹẹn	Ambitransitive	Never	
Emai	9	KNOW	ẹẹn	Applicative li insertion	Never	
Emai	9	KNOW	ẹẹn	Causative insertion	Never	
Emai	9	KNOW	ẹẹn	Distributive locative insertion (specific)	Never	
Emai	9	KNOW	ẹẹn	Distributive locative insertion (unspecific)	Never	
Emai	9	KNOW	ẹẹn	Elative insertion	Never	
Emai	9	KNOW	ẹẹn	External possessor alternation	Never	
Emai	9	KNOW	ẹẹn	Instrument insertion	Never	
Emai	9	KNOW	ẹẹn	Locative change of state	Never	
