Language_name	Meaning_number	Meaning_label	Verb_form	Basic_or_derived_coding_frame	Coding_frame_schema	Index_number	Microrole_name	Coding_set_name	Argument_type
Evenki	1	EAT	d’ep-	Basic	1-nom 2-acc V	1	eater	NP-nom	A
Evenki	1	EAT	d’ep-	Basic	1-nom 2-acc V	2	eaten food	NP-acc	P
Evenki	2	HUG	kumle-	Basic	1-nom 2-acc V	1	hugger	NP-nom	A
Evenki	2	HUG	kumle-	Basic	1-nom 2-acc V	2	huggee	NP-acc	P
Evenki	3	LOOK AT	ičet-	Basic	1-nom 2-acc V	1	looker	NP-nom	A
Evenki	3	LOOK AT	ičet-	Basic	1-nom 2-acc V	2	looked at entity	NP-acc	P
Evenki	4	SEE	iče-	Basic	1-nom 2-acc V	1	seeer	NP-nom	A
Evenki	4	SEE	iče-	Basic	1-nom 2-acc V	2	seen entity	NP-acc	P
Evenki	5	SMELL	Ŋosukta-	Basic	1-nom 2-acc V	1	smeller	NP-nom	A
Evenki	5	SMELL	Ŋosukta-	Basic	1-nom 2-acc V	2	smelled entity	NP-acc	P
Evenki	6	FEAR	Ŋeelet-	Basic	1-nom 2-abl V	1	fearer	NP-nom	S
Evenki	6	FEAR	Ŋeelet-	Basic	1-nom 2-abl V	2	fear stimulus	NP-abl	X
Evenki	7	FRIGHTEN	ŋeele-vken-	Basic	1-nom 2-acc V	1	frightener	NP-nom	A
Evenki	7	FRIGHTEN	ŋeele-vken-	Basic	1-nom 2-acc V	2	frightenee	NP-acc	P
Evenki	8	LIKE	ajav-	Basic	1-nom 2-acc V	1	liker	NP-nom	A
Evenki	8	LIKE	ajav-	Basic	1-nom 2-acc V	2	liked entity	NP-acc	P
Evenki	9	KNOW	saa-	Basic	1-nom 2-acc V	1	knower	NP-nom	A
Evenki	9	KNOW	saa-	Basic	1-nom 2-acc V	2	known thing/person	NP-acc	P
Evenki	10	THINK	d'alda-	Basic	1-nom 2-prol V	1	thinker	NP-nom	S
Evenki	10	THINK	d'alda-	Basic	1-nom 2-prol V	2	thought content	NP-prol	X
Evenki	11	SEARCH FOR	gelekte-	Basic	1-nom 2-acc V	1	searcher	NP-nom	A
Evenki	11	SEARCH FOR	gelekte-	Basic	1-nom 2-acc V	2	searched for thing	NP-acc	P
Evenki	12	WASH	av-	Basic	1-nom 2-acc V	1	washer	NP-nom	A
Evenki	12	WASH	av-	Basic	1-nom 2-acc V	2	washed entity	NP-acc	P
Evenki	13	DRESS	tet-yv--	Basic	1-nom 2-acc V	1	dresser	NP-nom	A
Evenki	13	DRESS	tet-yv--	Basic	1-nom 2-acc V	2	dressee	NP-acc	P
Evenki	14	SHAVE (a body part/person)	husča-	Basic	1-nom 2-acc V	1	shaver (of body part)	NP-nom	A
Evenki	14	SHAVE (a body part/person)	husča-	Basic	1-nom 2-acc V	2	shaved body part	NP-acc	P
Evenki	15	HELP	bele-	Basic	1-nom 2-dat V	1	helper	NP-nom	S
Evenki	15	HELP	bele-	Basic	1-nom 2-dat V	2	helpee	NP-dat	L
Evenki	16	FOLLOW	bodo-	Basic	1-nom 2-acc V	1	follower	NP-nom	A
Evenki	16	FOLLOW	bodo-	Basic	1-nom 2-acc V	2	followee	NP-acc	P
Evenki	17	MEET	asila- (1)	Basic	1-nom 2-acc V	1	meeter	NP-nom	A
Evenki	17	MEET	asila- (1)	Basic	1-nom 2-acc V	2	met person	NP-acc	P
Evenki	18	TALK	ulgučen- (2)	Basic	1-nom 2-prol 3-com V	1	talker	NP-nom	S
Evenki	18	TALK	ulgučen- (2)	Basic	1-nom 2-prol 3-com V	2	talked about content	NP-prol	X
Evenki	18	TALK	ulgučen- (2)	Basic	1-nom 2-prol 3-com V	3	talked to person	NP-com	X
Evenki	19	ASK FOR	ejet-	Basic	1-nom 2-acc 3-acc V	1	asker	NP-nom	A
Evenki	19	ASK FOR	ejet-	Basic	1-nom 2-acc 3-acc V	2	askee	NP-acc	P
Evenki	19	ASK FOR	ejet-	Basic	1-nom 2-acc 3-acc V	3	requested thing	NP-acc	P
Evenki	20	SHOUT AT	tepke- (1)	Basic	1-nom 2-all V	1	shouter	NP-nom	S
Evenki	20	SHOUT AT	tepke- (1)	Basic	1-nom 2-all V	2	shoutee	NP-all	X
Evenki	21	TELL	ulgučen- (1)	Basic	1-nom 2-acc 3-dat V	1	teller	NP-nom	A
Evenki	21	TELL	ulgučen- (1)	Basic	1-nom 2-acc 3-dat V	2	told content	NP-acc	P
Evenki	21	TELL	ulgučen- (1)	Basic	1-nom 2-acc 3-dat V	3	tellee	NP-dat	L
Evenki	22	SAY	guun-	Basic	1-nom 2-acc 3-dat V	1	sayer	NP-nom	A
Evenki	22	SAY	guun-	Basic	1-nom 2-acc 3-dat V	2	said content	NP-acc	P
Evenki	22	SAY	guun-	Basic	1-nom 2-acc 3-dat V	3	saying addressee	NP-dat	L
Evenki	23	NAME	gerbit-	Basic	1-nom 2-acc 3-instr V	1	namer	NP-nom	A
Evenki	23	NAME	gerbit-	Basic	1-nom 2-acc 3-instr V	2	namee	NP-acc	P
Evenki	23	NAME	gerbit-	Basic	1-nom 2-acc 3-instr V	3	name	NP-instr	I
Evenki	24	BUILD	oo-	Basic	1-nom 2-acc 3-abl V	1	builder	NP-nom	A
Evenki	24	BUILD	oo-	Basic	1-nom 2-acc 3-abl V	2	built thing	NP-acc	P
Evenki	24	BUILD	oo-	Basic	1-nom 2-acc 3-abl V	3	building material	NP-abl	X
Evenki	25	BREAK	sukča-	Basic	1-nom 2-acc 3-instr V	1	breaker	NP-nom	A
