Language_name	Meaning_number	Meaning_label	Verb_form	Basic_or_derived_coding_frame	Coding_frame_schema	Index_number	Microrole_name	Coding_set_name	Argument_type
German	1	EAT	essen	Basic	1-nom V.subj[1] 2-acc	1	eater	NP-nom V.subj	A
German	1	EAT	essen	Basic	1-nom V.subj[1] 2-acc	2	eaten food	NP-acc	P
German	1	EAT	essen	Derived	1-nom V'.subj[1]	1	eater	NP-nom V.subj	
German	1	EAT	essen	Derived	2-nom passV'.subj[2] (von+1-dat)	1	eater	von+NP-dat	
German	1	EAT	essen	Derived	2-nom passV'.subj[2] (von+1-dat)	2	eaten food	NP-nom V.subj	
German	2	HUG	umarmen	Basic	1-nom V.subj[1] 2-acc	1	hugger	NP-nom V.subj	A
German	2	HUG	umarmen	Basic	1-nom V.subj[1] 2-acc	2	huggee	NP-acc	P
German	2	HUG	umarmen	Derived	2-nom passV'.subj[2] (von+1-dat)	1	hugger	von+NP-dat	
German	2	HUG	umarmen	Derived	2-nom passV'.subj[2] (von+1-dat)	2	huggee	NP-nom V.subj	
German	3	LOOK AT	anschauen	Basic	1-nom V.subj[1] 2-acc	1	looker	NP-nom V.subj	A
German	3	LOOK AT	anschauen	Basic	1-nom V.subj[1] 2-acc	2	looked at entity	NP-acc	P
German	3	LOOK AT	anschauen	Derived	2-nom passV'.subj[2] (von+1-dat)	1	looker	von+NP-dat	
German	3	LOOK AT	anschauen	Derived	2-nom passV'.subj[2] (von+1-dat)	2	looked at entity	NP-nom V.subj	
German	4	SEE	sehen	Basic	1-nom V.subj[1] 2-acc	1	seeer	NP-nom V.subj	A
German	4	SEE	sehen	Basic	1-nom V.subj[1] 2-acc	2	seen entity	NP-acc	P
German	4	SEE	sehen	Derived	2-nom passV'.subj[2] (von+1-dat)	1	seeer	von+NP-dat	
German	4	SEE	sehen	Derived	2-nom passV'.subj[2] (von+1-dat)	2	seen entity	NP-nom V.subj	
German	5	SMELL	riechen	Basic	1-nom V.subj[1] 2-acc	1	smeller	NP-nom V.subj	A
German	5	SMELL	riechen	Basic	1-nom V.subj[1] 2-acc	2	smelled entity	NP-acc	P
German	5	SMELL	riechen	Derived	2-nom passV'.subj[2] (von+1-dat)	1	smeller	von+NP-dat	
German	5	SMELL	riechen	Derived	2-nom passV'.subj[2] (von+1-dat)	2	smelled entity	NP-nom V.subj	
German	5	SMELL	riechen	Derived	2-nom V'.subj[2]	2	smelled entity	NP-nom V.subj	
German	6	FEAR	Angst haben	Basic	1-nom V.subj[1] vor+2-dat	1	fearer	NP-nom V.subj	S
German	6	FEAR	Angst haben	Basic	1-nom V.subj[1] vor+2-dat	2	fear stimulus	vor+NP-dat	X
German	6	FEAR	Angst haben	Derived	1-nom V'.subj[1]	1	fearer	NP-nom V.subj	
German	6	FEAR	fürchten	Basic	1-nom V.subj[1] 2-acc	1	fearer	NP-nom V.subj	A
German	6	FEAR	fürchten	Basic	1-nom V.subj[1] 2-acc	2	fear stimulus	NP-acc	P
German	6	FEAR	fürchten	Derived	2-nom passV'.subj[2] (von+1-dat)	1	fearer	von+NP-dat	
German	6	FEAR	fürchten	Derived	2-nom passV'.subj[2] (von+1-dat)	2	fear stimulus	NP-nom V.subj	
German	7	FRIGHTEN	erschrecken	Basic	1-nom V.subj[1] 2-acc	1	frightener	NP-nom V.subj	A
German	7	FRIGHTEN	erschrecken	Basic	1-nom V.subj[1] 2-acc	2	frightenee	NP-acc	P
German	7	FRIGHTEN	erschrecken	Derived	2-nom passV'.subj[2] (von+1-dat)	1	frightener	von+NP-dat	
German	7	FRIGHTEN	erschrecken	Derived	2-nom passV'.subj[2] (von+1-dat)	2	frightenee	NP-nom V.subj	
