Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Hoocąk	1	offered by speaker & checked w/ other speaker(s)	Wa'įnąka hiš'ųanąga hįįrašurukąną?		wa'į=nąka hi<š>'ų=anąga hi-hį-ha<šu>ruką-ną	blanket=POS.NTL:DIST <2.A>use=and APPL.INST-1E.U-<2.A>cover-POT	Can you cover me with that blanket?
Hoocąk	2	offered by speaker & checked w/ other speaker(s)	Waarucra hanąąc waašurukągįnį?		waaruc=ra hanąąc wa-ha<šu>ruką-gįnį	table=DEF all OBJ.3PL-<2.A>cover-already	Have you covered all the tables already?
Hoocąk	3	offered by speaker & checked w/ other speaker(s)	Waarucra waįragišurukąną?		waaruc=ra wa-ha<hį-ra-gi-šu>ruką-ną	table=DEF OBJ.3PL-<1E.U-2.A-APPL.BEN-2.A>cover-POT	Can you cover the tables for me?
Hoocąk	4	offered by speaker & checked w/ other speaker(s)	Nąąra waipereci (wa)wiirukąire.		nąą=ra waipereci wa-hi-haruką-ire	wood=DEF canvas OBJ.3PL-APPL.INST-cover-SBJ.3PL	They covered the logs with canvas.
Hoocąk	5	offered by speaker & checked w/ other speaker(s)	Jaagu'ų waipereci hiraįšurukąwi?		jaagu'ų waipereci hi-ha<hį-šu>ruką-wi	why canvas APPL.INST-<1E.U-2.A>cover-PL	Why did you (PL) cover me with canvas? / Why did you have to cover us with canvas?
Hoocąk	6	offered by speaker & checked w/ other speaker(s)	Waipereci hiš'ųanąga nąąra waįragišurukąną?		waipereci hi<š>'ų=anąga nąą=ra wa-ha<hį-ra-gi-šu>ruką-ną	canvas <2.A>use=and wood=DEF OBJ.3PL-<1E.U-2.A-APPL.BEN-2.A>cover-POT	Can you cover all my logs with canvas for me?
Hoocąk	7	offered by speaker & checked w/ other speaker(s)	Wa'į šjuuc yaakituką.		wa'į šjuuc hi-ha<ha-kii>tuką	blanket be.warm APPL.INST-<1E.A-RFL>cover\1E.A	I covered myself with a warm blanket.
Hoocąk	8	offered by speaker & checked w/ other speaker(s)	Wa'į šjuuc yaakikuruką.		wa'į šjuuc hi-ha<ha-kii-ku>ruką	blanket be.warm APPL.INST-<1E.A-RFL-POSS.RFL>cover	I covered myself with a warm blanket.
Hoocąk	9	offered by speaker & checked w/ other speaker(s)	Xąąwį hįį'ų(wi)anąga hįįkikiruką(wi)ną.		xąąwį hį-hi'ų-wi=anąga hį-ha<kiki>ruką-wi-ną	grass 1I.A-use-PL=and 1I.A-<RCP>cover-PL-POT	Let's cover each other with grass / We can cover each other with grass.
Hoocąk	10	offered by speaker & checked w/ other speaker(s)	Xąąwį hi'ųireanąga hakikirukąire.		xąąwį hi'ų-ire-anąga ha<kiki>ruką-ire	grass use-SBJ.3PL-and <RCP>cover-SBJ.3PL	They used grass to cover each other.
Hoocąk	11	offered by speaker & checked w/ other speaker(s)	Wiišgac waašįnįra waarakuruką?		wiišgac wa-ha<šį>nį=ra wa-ha<ra-ku>ruką	toy OBJ.3PL-<2.A>have.NTL=DEF OBJ.3PL-<2.A-POSS.RFL>cover	Did you cover your toys?
Hoocąk	12	offered by speaker & checked w/ other speaker(s)	Wiisgac waašįnįra waarakurukąną?		wiišgac wa-ha<šį>nį=ra wa-ha<ra-ku>ruką-ną	toy OBJ.3PL-<2.A>have.NTL=DEF OBJ.3PL-<2.A-POSS.RFL>cover-POT	Can you cover your toys?
Hoocąk	13	offered by speaker & checked w/ other speaker(s)	Wooracgąra hanąąc hoixjį wahaagįnį.		wooracgą=ra hanąąc hoixjį wa-haa=gįnį	cup=DEF all be.full OBJ.3PL-make/CAUS\1E.A=already	I filled all the glasses already.
Hoocąk	14	offered by speaker & checked w/ other speaker(s)	Wooracgąra hanąąc nįį hoixjį wahaa.		wooracgą=ra hanąąc nįį hoixjį wa-haa	cup=DEF all water be.full OBJ.3PL-make/CAUS\1E.A	I filled all the glasses with water.
Hoocąk	15	offered by speaker & checked w/ other speaker(s)	Jaagu'ų wooracgą hanįra nįįšoc hoixjį raa?		jaagu'ų wooracgą hanį=ra nįį-šooc hoixjį raa	why cup have.NTL\1E.A=DEF water-be.hazy be.full make/CAUS\2.A	Why did you fill my glass with muddy water?
Hoocąk	16	offered by speaker & checked w/ other speaker(s)	Wooracgąnąąkre hoixjį waįragiginą?		wooracgą=nąąkre hoixjį wa-hį-ra-gigi-ną	cup=POS.NTL.PL:PROX be.full OBJ.3PL-1E.U-2.A-let/cause-POT	Can you fill these cups for me?
Hoocąk	17	offered by speaker & checked w/ other speaker(s)	Warucra ceep wahaanaga hoixjįxjį hakį.		waruc=ra ceep_<wa>haa=anąga hoixjį-xjį ha-kįį	food=DEF <OBJ.3PL>eat/drink.up\1E.A=and be.full-INTS 1E.A-make.self	I ate up all the food and I filled myself right up.
Hoocąk	18	offered by speaker & checked w/ other speaker(s)	Haašjek kookra hoixjį hįgigiire.		haašjek kook=ra hoixjį hį-gigi-ire	strawberry box=DEF be.full 1E.U-let/cause-SBJ.3PL	They filled my strawberry pail for me.
Hoocąk	19	offered by speaker & checked w/ other speaker(s)	Haast'ekra (eeja) wapaxų (rehaa).		haas-t'eek=ra eeja wa-paaxų rehaa	berry-be.rotten=DEF there OBJ.3PL-pour\1E.A do.quickly\1E.A	I spilled the rotten berries, I poured out the rotten berries."
Hoocąk	20	offered by speaker & checked w/ other speaker(s)	Haast'ekra (wa)waįragišawaxų?		haas-t'eek=ra wa-hį-ra-gi-ša-waxų	berry-be.rotten=DEF OBJ.3PL-1E.U-2.A-APPL.BEN-2.A-pour	Did you pour out my rotten berries / Did you pour out the rotten berries for me?
Hoocąk	21	offered by speaker & checked w/ other speaker(s)	Waarucra ceewasnįra hikinų hapaxų.		waaruc=ra ceewasnį=ra hikinų ha-paaxų	table=DEF milk=DEF accidentally APPL.SUPESS-pour\1E.A	I accidentally spilled milk over the table.
Hoocąk	22	offered by speaker & checked w/ other speaker(s)	Ceewasnįra hireanaga nįįtašjak taaxura waaruc (hihakeja) waapaxų, hikinų.		ceewasnį=ra hireanąga nįįtašjak_taaxu=ra waaruc hihak-eeja wa-ha-paaxų hikinų	milk=DEF along.with coffee=DEF table on.top-there OBJ.3PL-APPL.SUPESS-pour\1E.A accidentally	I spilled milk and coffee over the table.
Hoocąk	23	offered by speaker & checked w/ other speaker(s)	Hąįnį woorucra ceewasnį haakawaxų.		hąįnį wooruc=ra ceewasnį ha-ha-ka-waxų	morning meal=DEF milk APPL.SUPESS-1E.A-POSS.RFL-pour	I put milk on my cereal.
Hoocąk	24	offered by speaker & checked w/ other speaker(s)	Mąąskok yaa'ųanąga (xąąwįoxerera) nįį waapaxų.		mąąs-kook hi<ha>'ų=anąga xąąwįoxere=ra nįį wa-ha-paaxų	metal-box <1E.A>use=and flower=DEF water OBJ.3PL-APPL.SUPESS-pour\1E.A	I used the can and poured water over something.
Hoocąk	25	offered by speaker & checked w/ other speaker(s)	Mąąskook šuucxetera wikįnį hopaxų.		mąąs-kook šuuc-xete=ra wikįnį ho-paaxų	metal-box be.red-be.big=DEF oil APPL.INESS-pour\1E.A	I put gas in the big red can.
Hoocąk	26	offered by speaker & checked w/ other speaker(s)	Mąąskok šuucxete hanįra wikįnį hopaxų.		mąąs-kook šuuc-xete hanį=ra wikįnį ho-paaxų	metal-box be.red-be.big have.NTL\1E.A=DEF oil APPL.INESS-pour\1E.A	I poured gas into my big red can.
Hoocąk	27	offered by speaker & checked w/ other speaker(s)	Mąąskook šuucxete hanįra wikįnį waakawaxų.		mąąs-kook šuuc-xete hanį=ra wikįnį ho-ha-ka-waxų	metal-box be.red-be.big have.NTL=DEF oil APPL.INESS-1E.A-POSS.RFL-pour	I poured my gas into the big red can.
Hoocąk	28	offered by speaker & checked w/ other speaker(s)	Kutei, nįį hįįšawaxų!		kutei nįį ha-hį-ša-waxų	INTJ(male) water APPL.SUPESS-1E.U-2.A-pour	Hey, you poured water over me!"
Hoocąk	29	offered by speaker & checked w/ other speaker(s)	Nąącawara nįį hųųragišawaxų!		nąącawa=ra nįį ho-hį-ra-gi-ša-waxų	ear=DEF water APPL.INESS-1E.U-2.A-APPL.BEN-2.A-pour	You poured water into my ear!
Hoocąk	30	offered by speaker & checked w/ other speaker(s)	Nįįtašjak taaxura wooracgą hanįregi hisge hųųgiwaxųre!		nįįtašjak_taaxu=ra wooracgą hanį-regi hisge ho-hį-gi-waxų-re	coffee=DEF cup have.NTL\1E.A-SIM/LOC some APPL.INESS-1E.U-APPL.BEN-pour-IMP	Pour some coffee here into my cup!
Hoocąk	31	offered by speaker & checked w/ other speaker(s)	Kutei, nįį haakipaxų!		kutei nįį ha-ha-kii-paaxų	INTJ(male) water APPL.SUPESS-1E.A-RFL-pour\1E.A	Oh, I poured water over myself!"
