Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Accusative Subject Ambitransitive vs. Transitive	Ambitransitive	Ambitransitive alt. with -ja	Ambitransitive alternation with umlaut and -na	Ambitransitive with conjugation variation	Caused-motion from intransitive	Dat-Acc Ambiditransitive	Dative alternation (Dat-Acc)	Dative alternation (PP)	Dative passive	Dative Subject Ambitransitive vs. Transitive	Direct Object alternation	Genitive Passive	Genitive Subject Ambitransitive vs. Transitive	Impersonal mediopassive	Impersonal passive	It–he alternation	Locative Alternation with T.acc +með I.dat	Mediopassive (middle)	Middle	Nom-Dat vs. Dat-Nom	Nominative Passive	Obj.dat vs. Obj.acc	PP vs. Genitive Object	Prepositional Object alternation	Reciprocal Alternation	Reflexive (mediopassive form)	Transitive from intransitive
Icelandic	1	EAT	borða	4, 141, 228	1-nom V.agr[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	2	HUG	faðma	5, 142, 235, 303	1-nom V.agr[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never
Icelandic	3	LOOK AT	horfa	6, 143, 304, 366	1-nom V.agr[1] á+2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never
Icelandic	3	LOOK AT	líta	7, 144	1-nom V.agr[1] á+2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	4	SEE	sjá	8, 145, 274, 277, 302	1-nom V.agr[1] 2-acc	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never
Icelandic	5	SMELL	finna lykt	9, 146, 275	1-nom V.agr[1] af+2-dat	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	6	FEAR	vera hræddur	10	1-nom V.agr[1] við+2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	7	FRIGHTEN	hræða	11, 147, 148, 240	1-nom V.agr[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	8	LIKE	líka	12, 13	1-dat V.agr[2] 2-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
Icelandic	9	KNOW	þekkja	14, 149, 305, 363	1-nom V.agr[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never
Icelandic	10	THINK	hugsa	16, 153, 298, 299	1-nom V.agr[1] um+2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	11	SEARCH FOR	leita (1)	15, 150, 151, 152	1-nom V.agr[1] að+2-dat	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Icelandic	11	SEARCH FOR	leita (2)	15, 151, 266	1-nom V.agr[1] 2-gen	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	12	WASH	þvo	17, 18, 117, 154, 263	1-nom V.agr[1] 2-dat	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never
Icelandic	13	DRESS	klæða	19, 155, 156, 242, 300	1-nom V.agr[1] 2-acc (í +3-acc)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never
Icelandic	14	SHAVE (a body part/person)	raka	20, 157, 247	1-nom V.agr[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	15	HELP	hjálpa	21, 158, 269, 306	1-nom V.agr[1] 2-dat	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never
Icelandic	16	FOLLOW	elta	22, 159, 234	1-nom V.agr[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	16	FOLLOW	fylgja	23, 24, 160, 267, 307	1-nom V.agr[1] 2-dat	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Regularly	Never	Never
Icelandic	17	MEET	hitta	25, 26, 301	1-nom V.agr[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never
