Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Anticausative (coded)	Anticausative (uncoded)	Applicative	Body part possessor alternation	Causative	Conative	Direct Reciprocal Reflexive	Direct Reflexive	Impersonal of Reflexives	Impersonal Passive	Impersonal Reflexive	Indirect Reciprocal Reflexive	Indirect/Dative Reflexive	Locative Alternation	Middle Reflexive	Object Omission	Oblique Subject	Passive	Possessor-Attribute Alternation	Reflexive Passive
Italian	1	EAT	mangiare	3, 12, 27, 109, 11, 106, 2, 1, 776, 747, 115	1 > V.subj[1] > 2	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Marginally	Regularly	Never	Regularly	Never	Never	Regularly	Never	Regularly	Never	Regularly
Italian	2	HUG	abbracciare	722, 81, 24, 96, 95, 94, 720, 721	1 > V.subj[1] > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Regularly	Regularly	Regularly	Never	Marginally	Never	Marginally	Never	Never	Regularly	Never	Regularly
Italian	3	LOOK AT	guardare	495, 104, 91, 103, 491, 494, 493, 105, 492, 99, 723, 496, 101	1 > V.subj[1] > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Regularly	Regularly	Regularly	Never	Regularly	Never	Never	Marginally	Never	Regularly	Never	Regularly
Italian	4	SEE	vedere	138, 37, 39, 34, 136, 719, 32, 137, 135, 33, 36, 35, 121	1 > V.subj[1] > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Regularly	Regularly	Regularly	Never	Regularly	Never	Never	Regularly	Never	Regularly	Never	Regularly
Italian	5	SMELL	odorare	98, 97, 100, 146, 507, 93, 110, 800, 724, 160, 139	1 > V.subj[1] > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Regularly	Regularly	Regularly	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Regularly
Italian	6	FEAR	temere	134, 86, 83, 85, 82, 771, 770, 84, 133, 132, 725, 131, 87, 810, 811	1 > V.subj[1] > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Marginally	Regularly	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Regularly
Italian	7	FRIGHTEN	spaventare	140, 765, 40, 43, 122, 42, 123, 41, 44, 46, 726, 124, 45	1 > V.subj[1] > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Regularly	Regularly	Regularly	Never	Never	Never	Regularly	Marginally	Regularly	Regularly	Never	Regularly
Italian	8	LIKE	piacere	9, 767, 7, 801, 141, 766, 13, 6	a+1 > V.subj[2] > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never
Italian	9	KNOW	conoscere	164, 162, 163, 773, 772, 108, 161, 102, 727, 107	1 > V.subj[1] > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Regularly	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Regularly
Italian	10	THINK	pensare	168, 167, 512, 166, 511, 508, 165, 509, 367, 562	1 > V.subj[1] (> a+2)	Never	Never	Never	Never	Regularly	Marginally	Regularly	Marginally	Regularly	Marginally	Regularly	Never	Never	Never	Never	Never	Never	Marginally	Never	Never
Italian	11	SEARCH FOR	cercare	170, 176, 175, 173, 171, 169, 174, 513, 728, 172, 331, 539	1 > V.subj[1] > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Regularly	Regularly	Regularly	Never	Regularly	Never	Never	Regularly	Never	Regularly	Never	Regularly
Italian	12	WASH	lavare	522, 517, 521, 519, 514, 518, 516, 515, 524, 520, 523, 550, 552	1 > V.subj[1] > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Regularly	Regularly	Regularly	Regularly	Regularly	Never	Never	Regularly	Regularly	Regularly	Never	Regularly
Italian	13	DRESS	vestire	178, 525, 527, 529, 526, 528, 729, 748, 177, 588	1 > V.subj[1] > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Regularly	Regularly	Marginally	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Regularly
Italian	14	SHAVE (a body part/person)	radere	531, 532, 179, 183, 182, 181, 778, 180, 535, 538, 533, 530, 568	1 > V.subj[1] > 2 (a+3)	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Regularly	Regularly	Regularly	Regularly	Regularly	Never	Never	Regularly	Regularly	Regularly	Never	Regularly
Italian	15	HELP	aiutare	541, 540, 543, 551, 547, 185, 545, 553, 184, 549, 534	1 > V.subj[1] > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Regularly	Regularly	Regularly	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Regularly
Italian	16	FOLLOW	seguire	555, 557, 187, 186, 559, 188, 576	1 > V.subj[1] > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Regularly
Italian	17	MEET	incontrare	561, 189, 563, 567, 569, 190, 565	1 > V.subj[1] > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Regularly	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Regularly
Italian	18	TALK	parlare	571, 573, 579, 575, 577, 191	1 > V.subj[1] > (a+2) (di+3)	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Regularly	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
Italian	19	ASK FOR	chiedere	193, 192, 615, 617, 668, 616, 194	1 > V.subj[1] > 2 (a+3)	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Regularly	Never	Regularly	Never	Regularly
Italian	20	SHOUT AT	sgridare	200, 195, 199, 197, 196, 730, 198, 357	1 > V.subj[1] > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Regularly	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Regularly
Italian	21	TELL	raccontare	201, 203, 202, 205, 207, 206, 619, 204, 618	1 > V.subj[1] > 2 (a+3)	Never	Never	Never	Never	Regularly	Marginally	Never	Regularly	Regularly	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Regularly
Italian	22	SAY	dire	213, 208, 211, 216, 215, 212, 210, 214, 209, 329	1 > V.subj[1] > 2 (a+3)	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Regularly	Never	Regularly	Regularly	Regularly	Never	Never	Regularly	Never	Regularly	Never	Regularly
Italian	23	NAME	chiamare	221, 218, 223, 217, 222, 220, 219, 622, 621	1 > V.subj[1] > 2 > 3	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Regularly	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Regularly
Italian	24	BUILD	costruire	116, 117, 16, 14, 142, 143, 15, 10, 537, 542	1 > V.subj[1] > 2 (di+3)	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Marginally	Regularly	Never	Regularly	Never	Never	Regularly	Marginally	Regularly	Never	Regularly
Italian	25	BREAK	rompere	764, 76, 763, 71, 72, 73, 77, 79, 75, 78, 74, 80, 144	1 > V.subj[1] > 2 (con+3)	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Marginally	Regularly	Regularly	Never	Never	Regularly	Never	Regularly	Regularly	Never	Regularly
Italian	26	KILL	uccidere	147, 63, 62, 67, 64, 69, 60, 59, 128, 731, 145, 127, 126, 61	1 > V.subj[1] > 2 (con+3)	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Regularly	Regularly	Regularly	Never	Never	Never	Never	Regularly	Regularly	Regularly	Never	Regularly
Italian	27	BEAT	colpire	420, 636, 426, 419, 634, 632, 423, 633, 463, 422, 637, 425, 462, 421, 638, 424, 635	1 > V.subj[1] > 2 (con+3)	Never	Never	Never	Regularly	Regularly	Never	Regularly	Regularly	Regularly	Regularly	Regularly	Never	Regularly	Never	Regularly	Regularly	Regularly	Regularly	Never	Regularly
Italian	28	HIT	urtare	427, 645, 429, 795, 796, 428, 641, 432, 430, 644, 643, 642, 640, 431, 806	1 > V.subj[1] > 2 (con+3)	Never	Never	Never	Regularly	Regularly	Never	Regularly	Never	Regularly	Regularly	Regularly	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Regularly
