Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Jakarta Indonesian	1	Constructed by linguist	Erni tutup pintunya.		Erni tutup pintu-nya	Erni close door-ASSOC	Erni closes the door.
Jakarta Indonesian	2	Constructed by linguist	Erni nutup pintunya.		Erni n-(t)utup pintu-nya	Erni G.ACT-close door-ASSOC	Erni closes the door.
Jakarta Indonesian	3	Constructed by linguist	Pintunya tutup.		pintu-nya tutup	door-ASSOC close	The door is closed.
Jakarta Indonesian	4	Elicited from speaker	Erni nutupin makanannya.		Erni n-(t)utup-in makan-an-nya	Erni G.ACT-close-G.APPL eat-NMLZ-ASSOC	Erni covered the food.
Jakarta Indonesian	5	Elicited from speaker	Pintunya ditutup Erni.		pintu-nya di-tutup Erni	door-ASSOC G.PASS-close Erni	The door was closed by Erni.
Jakarta Indonesian	6	Elicited from speaker	Gue kasi dia buku.		gua kasi dia buku	1sg.fam give 3sg book	I gave him a book.
Jakarta Indonesian	7	Elicited from speaker	Gue kasi buku ke dia.		gue kasi buku ke dia	1sg.fam give book to 3sg	I gave a book to him.
Jakarta Indonesian	8	Elicited from speaker	Gue bawain dia buku.		gue bawa-in dia buku	1sg.fam carry-G.APPL 3sg book	I brought her a book.
Jakarta Indonesian	9	Elicited from speaker	Gue bawain buku buat dia.		gue bawa-in buku buat dia	1sg.fam carry-G.APPL book for 3sg	I brought a book for her.
Jakarta Indonesian	10	Elicited from speaker	Gue ngajarin dia bahasa inggris.		gue ng-ajar-in dia bahasa inggris	1sg.fam G.ACT-teach-G.APPL 3sg language English	I teach her English.
Jakarta Indonesian	11	Elicited from speaker	Gue ngajarin bahasa inggris ke dia.		gue ng-ajar-in bahasa inggris ke dia	1sg.fam G.ACT-teach-G.APPL language English to 3sg	I teach her English.
Jakarta Indonesian	12	Elicited from speaker	Gue kecolongan dompet.		gue ke.an-colong dompet	1sg.fam ADVERS-steal wallet	My wallet was stolen.
Jakarta Indonesian	13	Elicited from speaker	Kucing kebunuh.		kucing ke-bunuh	cat NONVOL-kill	The cat was killed (accidentally).
Jakarta Indonesian	14	Elicited from speaker	Dalan ngambil duit dari dompet Betty.		Dalan ng-ambil duit dari dompet Betty	Dalan G.ACT-take money from wallet Betty	Dalan took money from Betty's wallet.
Jakarta Indonesian	15	Elicited from speaker	Nadia bakar ikan.		Nadia bakar ikan	Nadia burn fish	Nadia's grilling fish.
Jakarta Indonesian	16	Elicited from speaker	Tomo mbangun kos-kosan.		Tomo m-bangun kos~kos-an	Tomo G.ACT-build RED~rental.room-NMLZ	Tomo's building some rooms for rent.
Jakarta Indonesian	17	Elicited from speaker	Tessa bantuin Erni bikin PR.		Tessa bantu-in Erni bikin PR	Tessa help-G.APPL Erni make homework	Tessa is helping Erni with her homework.
Jakarta Indonesian	18	Elicited from speaker	Erni nangis.		Erni n-(t)angis	Erni G.ACT-cry	Erni's crying.
Jakarta Indonesian	19	Constructed by linguist	Ujan.		ujan	rain	It's raining.
Jakarta Indonesian	20	Constructed by linguist	Gue pergi.		gue pergi	1sg.fam go	I go.
Jakarta Indonesian	21	Elicited from speaker	Betty ngumpet.		Betty ng-umpet	Betty G.ACT-hide	Betty is hiding.
Jakarta Indonesian	22		Nadia dipanggil.		Nadia di-panggil	Nadia G.PASS-call	Nadia was called.
Jakarta Indonesian	23	Elicited from speaker	Gue lempar batu.		gue lempar batu	1sg.fam throw stone	I threw a stone.
Jakarta Indonesian	24	Elicited from speaker	Gue ngikat rambut.		gue ng-ikat rambut	1sg.fam G.ACT-tie hair	I tied my hair.
Jakarta Indonesian	25	Elicited from speaker	Dompetnya dicolong dia.		dompet-nya di-colong dia	wallet-ASSOC G.PASS-steal 3sg	The wallet was stolen (by) her.
Jakarta Indonesian	26	Elicited from speaker	Erni tutupin makanan.		Erni tutup-in makan-an	Erni close-G.APPL eat-NMLZ	Erni covered the food.
Jakarta Indonesian	27	Elicited from speaker	Dalan mecahin gelas.		Dalan m-(p)ecah-in gelas	Dalan G.ACT-break-G.APPL glass	Dalan broke the glass.
Jakarta Indonesian	28	Elicited from speaker	Aer dituangin gue.		aer di-tuang-in gue	water G.PASS-pour-G.APPL 1sg.fam	The water was poured out (by) me.
Jakarta Indonesian	29	Elicited from speaker	Gue ngasi dia buku.		gue ng-(k)asi dia buku	1sg.fam G.ACT-give 3sg book	I gave him a book.
Jakarta Indonesian	30	Elicited from speaker	Dalan dikasitahu Nadia soal FPI.		Dalan di-kasitahu Nadia soal FPI	Dalan G.PASS-tell Nadia about FPI	Dalan was told by Nadia about the FPI.
Jakarta Indonesian	31	Elicited from speaker	Nadia dikasi kado ama pacarnya.		Nadia di-kasi kado ama pacar-nya	Nadia G.PASS-give gift by boy/girlfriend-ASSOC	Nadia was given a gift by her boyfriend.
Jakarta Indonesian	32	Elicited from speaker	Betty kirimin gue surat.		Betty kirim-in gue surat	Betty send-G.APPL 1sg.fam letter	Betty sent me letters.
Jakarta Indonesian	33	Elicited from speaker	Gue nuangin dia aer.		gue n-(t)uang-in dia aer	1sg.fam G.ACT-pour-G.APPL 3sg water	I poured her some water.
Jakarta Indonesian	34	Elicited from speaker	Motor dimasukin garasi ama satpamnya.		motor di-masuk-in garasi ama satpam-nya	motorbike G.PASS-go.in-G.APPL garage by guard-ASSOC	The motorbike was put in the garage by the guard.
Jakarta Indonesian	35	Elicited from speaker	Dalan dipotongin Mamanya mangga.		Dalan di-potong-in mama-nya mangga	Dalan G.PASS-cut-G.APPL mother-ASSOC mango	Dalan's mommy cut him some mango.
