Language_name	Meaning_number	Meaning_label	Verb_form	Alternation_name	Alternation_occurs	Coding_frame_schema
Jaminjung	1	EAT	ganimindany	Ambitransitive alternation	Never	
Jaminjung	1	EAT	ganimindany	Causative alternation of internally caused change of state predicates and non-locative states	Never	
Jaminjung	1	EAT	ganimindany	Causative-inchoative alternation of "cooking" predicates	Never	
Jaminjung	1	EAT	ganimindany	Causative-inchoative alternation of change of location predicates	Never	
Jaminjung	1	EAT	ganimindany	Causative-inchoative alternation of externally caused change of state predicates	Never	
Jaminjung	1	EAT	ganimindany	Causative-inchoative-stative alternation of predicates of location, position and configuration	Never	
Jaminjung	1	EAT	ganimindany	Ditransitive object alternation of IVs	Never	
Jaminjung	1	EAT	ganimindany	Inchoative-causative alternation of change of location predicates	Never	
Jaminjung	1	EAT	ganimindany	Inchoative-causative-stative alternation of predicates of location, position and configuration	Never	
Jaminjung	1	EAT	ganimindany	Locative-object (applicative) Alternation	Never	
Jaminjung	1	EAT	ganimindany	Locative-recipient alternation	Never	
Jaminjung	1	EAT	ganimindany	Reflexive-reciprocal alternation of IVs	Never	
Jaminjung	1	EAT	ganimindany	Telicity alternation	Never	
Jaminjung	1	EAT	ganimindany	Transitivity alternation of activity predicates	Never	
Jaminjung	1	EAT	ganimindany	Transitivity alternation of motion predicates	Never	
Jaminjung	1	EAT	ganimindany	Transitivity alternation of stative predicates	Never	
Jaminjung	1	EAT	ganimindany	Verbless/verbal clause with predicative nominal=UV	Never	
Jaminjung	1	EAT	thawaya gagba	Ambitransitive alternation	Never	
Jaminjung	1	EAT	thawaya gagba	Causative alternation of internally caused change of state predicates and non-locative states	Never	
Jaminjung	1	EAT	thawaya gagba	Causative-inchoative alternation of "cooking" predicates	Never	
Jaminjung	1	EAT	thawaya gagba	Causative-inchoative alternation of change of location predicates	Never	
Jaminjung	1	EAT	thawaya gagba	Causative-inchoative alternation of externally caused change of state predicates	Never	
Jaminjung	1	EAT	thawaya gagba	Causative-inchoative-stative alternation of predicates of location, position and configuration	Never	
Jaminjung	1	EAT	thawaya gagba	Ditransitive object alternation of IVs	Never	
Jaminjung	1	EAT	thawaya gagba	Inchoative-causative alternation of change of location predicates	Never	
Jaminjung	1	EAT	thawaya gagba	Inchoative-causative-stative alternation of predicates of location, position and configuration	Never	
Jaminjung	1	EAT	thawaya gagba	Locative-object (applicative) Alternation	Never	
Jaminjung	1	EAT	thawaya gagba	Locative-recipient alternation	Never	
Jaminjung	1	EAT	thawaya gagba	Reflexive-reciprocal alternation of IVs	Never	
Jaminjung	1	EAT	thawaya gagba	Telicity alternation	Never	
Jaminjung	1	EAT	thawaya gagba	Transitivity alternation of activity predicates	Never	
Jaminjung	1	EAT	thawaya gagba	Transitivity alternation of motion predicates	Never	
Jaminjung	1	EAT	thawaya gagba	Transitivity alternation of stative predicates	Never	
Jaminjung	1	EAT	thawaya gagba	Verbless/verbal clause with predicative nominal=UV	Never	
Jaminjung	2	HUG	warrgi ganangu	Ambitransitive alternation	Never	
Jaminjung	2	HUG	warrgi ganangu	Causative alternation of internally caused change of state predicates and non-locative states	Never	
Jaminjung	2	HUG	warrgi ganangu	Causative-inchoative alternation of "cooking" predicates	Never	
Jaminjung	2	HUG	warrgi ganangu	Causative-inchoative alternation of change of location predicates	Never	
Jaminjung	2	HUG	warrgi ganangu	Causative-inchoative alternation of externally caused change of state predicates	Never	
Jaminjung	2	HUG	warrgi ganangu	Causative-inchoative-stative alternation of predicates of location, position and configuration	Never	
Jaminjung	2	HUG	warrgi ganangu	Ditransitive object alternation of IVs	Never	
Jaminjung	2	HUG	warrgi ganangu	Inchoative-causative alternation of change of location predicates	Never	
Jaminjung	2	HUG	warrgi ganangu	Inchoative-causative-stative alternation of predicates of location, position and configuration	Never	
Jaminjung	2	HUG	warrgi ganangu	Locative-object (applicative) Alternation	Never	
Jaminjung	2	HUG	warrgi ganangu	Locative-recipient alternation	Never	
Jaminjung	2	HUG	warrgi ganangu	Reflexive-reciprocal alternation of IVs	No data	
Jaminjung	2	HUG	warrgi ganangu	Telicity alternation	Never	
Jaminjung	2	HUG	warrgi ganangu	Transitivity alternation of activity predicates	Never	
Jaminjung	2	HUG	warrgi ganangu	Transitivity alternation of motion predicates	Never	
Jaminjung	2	HUG	warrgi ganangu	Transitivity alternation of stative predicates	Never	
Jaminjung	2	HUG	warrgi ganangu	Verbless/verbal clause with predicative nominal=UV	Never	
Jaminjung	2	HUG	warrgi ganimuwa	Ambitransitive alternation	Never	
Jaminjung	2	HUG	warrgi ganimuwa	Causative alternation of internally caused change of state predicates and non-locative states	Never	
Jaminjung	2	HUG	warrgi ganimuwa	Causative-inchoative alternation of "cooking" predicates	Never	
