Language_name	Meaning_number	Meaning_label	Verb_form	Basic_or_derived_coding_frame	Coding_frame_schema	Index_number	Microrole_name	Coding_set_name	Argument_type
Jaminjung	1	EAT	ganimindany	Basic	1-erg 2-abs subj[1].obj[2].V	1	eater	NP-erg subj.V	A
Jaminjung	1	EAT	ganimindany	Basic	1-erg 2-abs subj[1].obj[2].V	2	eaten food	NP-abs obj.V	P
Jaminjung	1	EAT	thawaya gagba	Basic	1-abs 2-abs subj[1].V	1	eater	NP-abs subj.V	S
Jaminjung	1	EAT	thawaya gagba	Basic	1-abs 2-abs subj[1].V	2	eaten food	NP-abs	X
Jaminjung	2	HUG	warrgi ganangu	Basic	1-erg 2-abs subj[1].obj[2].V	1	hugger	NP-erg subj.V	A
Jaminjung	2	HUG	warrgi ganangu	Basic	1-erg 2-abs subj[1].obj[2].V	2	huggee	NP-abs obj.V	P
Jaminjung	2	HUG	warrgi ganimuwa	Basic	1-erg 2-abs subj[1].obj[2].V	1	hugger	NP-erg subj.V	A
Jaminjung	2	HUG	warrgi ganimuwa	Basic	1-erg 2-abs subj[1].obj[2].V	2	huggee	NP-abs obj.V	P
Jaminjung	3	LOOK AT	mung ganingawu	Basic	1-erg 2-abs subj[1].obj[2].V	1	looker	NP-erg subj.V	A
Jaminjung	3	LOOK AT	mung ganingawu	Basic	1-erg 2-abs subj[1].obj[2].V	2	looked at entity	NP-abs obj.V	P
Jaminjung	4	SEE	ganingawu	Basic	1-erg 2-abs subj[1].obj[2].V	1	seeer	NP-erg subj.V	A
Jaminjung	4	SEE	ganingawu	Basic	1-erg 2-abs subj[1].obj[2].V	2	seen entity	NP-abs obj.V	P
Jaminjung	5	SMELL	ngabuj ganangu	Basic	1-erg 2-abs subj[1].obj[2].V	1	smeller	NP-erg subj.V	A
Jaminjung	5	SMELL	ngabuj ganangu	Basic	1-erg 2-abs subj[1].obj[2].V	2	smelled entity	NP-abs obj.V	P
Jaminjung	6	FEAR	ganiyangmany	Basic	1-erg 2-abs subj[1].obj[2].V	1	fearer	NP-erg subj.V	A
Jaminjung	6	FEAR	ganiyangmany	Basic	1-erg 2-abs subj[1].obj[2].V	2	fear stimulus	NP-abs obj.V	P
Jaminjung	6	FEAR	yarrajgu gagba	Basic	1-abs 2-dat subj[1].V	1	fearer	NP-abs subj.V	S
Jaminjung	6	FEAR	yarrajgu gagba	Basic	1-abs 2-dat subj[1].V	2	fear stimulus	NP-dat	X
Jaminjung	7	FRIGHTEN	braitenim ganangu	Basic	1-erg 2-abs subj[1].obj[2].V	1	frightener	NP-erg subj.V	A
Jaminjung	7	FRIGHTEN	braitenim ganangu	Basic	1-erg 2-abs subj[1].obj[2].V	2	frightenee	NP-abs obj.V	P
Jaminjung	8	LIKE	ngunthug ganangu (1)	Basic	1-erg 2-abs subj[1].obj[2].V	1	liker	NP-erg subj.V	A
Jaminjung	8	LIKE	ngunthug ganangu (1)	Basic	1-erg 2-abs subj[1].obj[2].V	2	liked entity	NP-abs obj.V	P
Jaminjung	9	KNOW	jurriya (gagba)	Basic	1-abs 2-dat subj[1].V	1	knower	NP-abs subj.V	S
Jaminjung	9	KNOW	jurriya (gagba)	Basic	1-abs 2-dat subj[1].V	2	known thing/person	NP-dat	X
Jaminjung	10	THINK	langa gagba	Basic	1-abs 2-dat subj[1].V	1	thinker	NP-abs subj.V	S
Jaminjung	10	THINK	langa gagba	Basic	1-abs 2-dat subj[1].V	2	thought content	NP-dat	X
Jaminjung	11	SEARCH FOR	wurdbaj gajgany	Basic	1-abs 2-dat subj[1].V	1	searcher	NP-abs subj.V	S
Jaminjung	11	SEARCH FOR	wurdbaj gajgany	Basic	1-abs 2-dat subj[1].V	2	searched for thing	NP-dat	X
Jaminjung	12	WASH	gulyu ganangu	Basic	1-erg 2-abs subj[1].obj[2].V	1	washer	NP-erg subj.V	A
