Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Anticausative with /rasar/	Causative	DO passive	IO passive	Lexical argument decreasing alternation	Lexical argument increasing alternation	Potential (ability)	potential (property)
Hokkaido Japanese	1	EAT	tabe-ru	1, 2, 3, 4, 5	1-nom 2-acc V	Never	Regularly	Regularly	Never	Never	Never	Regularly	Regularly
Hokkaido Japanese	2	HUG	dakituk-u	9, 10, 11, 12, 13	1-nom 2-dat V	Never	Regularly	Regularly	Regularly	Never	Never	Regularly	Regularly
Hokkaido Japanese	3	LOOK AT	mi-ru	14, 15, 16, 17, 18, 19	1-nom 2-acc V	Never	Regularly	Regularly	Never	Regularly	Never	Regularly	Regularly
Hokkaido Japanese	4	SEE	mi-ru	14, 15, 16, 17, 18, 19	1-nom 2-acc V	Never	Regularly	Regularly	Never	Regularly	Never	Regularly	Regularly
Hokkaido Japanese	5	SMELL	kag-u	20, 21, 22, 23	1-nom 2-acc V	Never	Regularly	Marginally	Never	Never	Never	Regularly	Never
Hokkaido Japanese	6	FEAR	kowagar-u	24, 25, 26, 27	1-nom 2-acc V	Never	Regularly	Regularly	Never	Regularly	Never	Never	Never
Hokkaido Japanese	7	FRIGHTEN	kowagarase-ru	28, 29, 30, 31, 32, 33	1-nom 2-acc V	Never	Regularly	Regularly	Never	Regularly	Never	Regularly	Regularly
Hokkaido Japanese	8	LIKE	suki=da	34, 35	1-nom 2-nom V	Never	Never	Regularly	Never	Never	Never	Never	Never
Hokkaido Japanese	8	LIKE	ki=ni ir-u	205, 206, 207	1-nom 2-acc V	Never	Regularly	Regularly	Never	Never	Never	Never	Never
Hokkaido Japanese	9	KNOW	sir-u	36, 37, 38	1-nom 2-acc V	Never	Never	Regularly	Never	Never	Regularly	Never	Never
Hokkaido Japanese	10	THINK	kangae-ru	39, 40, 41, 42	1-nom 2+nituite V	Never	Regularly	Regularly	Never	Never	Never	Regularly	Never
Hokkaido Japanese	11	SEARCH FOR	sagas-u	43, 44, 45, 46, 47	1-nom 2-acc V	Never	Regularly	Regularly	Never	Never	Never	Regularly	Regularly
Hokkaido Japanese	12	WASH	ara(w)-u	48, 49, 50, 51, 52, 53	1-nom 2-acc V	Regularly	Regularly	Regularly	Never	Never	Never	Regularly	Regularly
Hokkaido Japanese	13	DRESS	kise-ru	54, 55, 56, 57, 58, 208	1-nom 2-dat 3-acc V	Regularly	Regularly	Regularly	Regularly	Regularly	Never	Regularly	Never
Hokkaido Japanese	14	SHAVE (a body part/person)	sor-u	59, 60, 61, 62, 63	1-nom 2-acc V	Regularly	Regularly	Regularly	Never	Never	Never	Regularly	Never
Hokkaido Japanese	15	HELP	tasuke-ru	64, 65, 66, 67, 68, 69, 325	1-nom 2-acc V	Never	Regularly	Regularly	Never	Regularly	Never	Regularly	Regularly
Hokkaido Japanese	15	HELP	tetuda(w)-u	70, 71, 72, 73	1-nom 2-acc V	Never	Regularly	Regularly	Never	Never	Never	Regularly	Never
Hokkaido Japanese	16	FOLLOW	tui-te ik-u	74, 75, 76, 77	1-nom 2-dat V	Never	Regularly	Regularly	Regularly	Never	Never	Regularly	Never
Hokkaido Japanese	16	FOLLOW	oikake-ru	78, 79, 80, 81	1-nom 2-acc V	Never	Regularly	Regularly	Never	Never	Never	Regularly	Never
Hokkaido Japanese	17	MEET	a(w)-u	82, 83, 84	1-nom 2-com/dat V	Never	Regularly	Never	Never	Never	Never	Regularly	Never
Hokkaido Japanese	18	TALK	hanas-u	85, 86, 87, 88, 89, 90, 92, 93, 94, 95	1-nom 2-dat 3-acc V	Never	Regularly	Regularly	Regularly	Never	Never	Regularly	Regularly
Hokkaido Japanese	19	ASK FOR	motome-ru	6, 7, 8, 91, 418	1-nom 2-dat 3-acc V	Never	Regularly	Regularly	Regularly	Never	Never	Regularly	Never
Hokkaido Japanese	20	SHOUT AT	donar-u	413, 414, 415, 416	1-nom 2-acc V	No data	Regularly	Regularly	Never	No data	No data	Regularly	Never
Hokkaido Japanese	21	TELL	hanas-u	85, 86, 87, 88, 89, 90, 92, 93, 94, 95	1-nom 2-dat 3-acc V	Never	Regularly	Regularly	Regularly	Never	Never	Regularly	Regularly
Hokkaido Japanese	22	SAY	i(w)-u	96, 97, 98, 99	1-nom 2-dat UTT3 V	Never	Regularly	Regularly	Regularly	Never	Never	Regularly	Never
Hokkaido Japanese	23	NAME	yob-u	100, 101, 102, 103, 104	1-nom 2-acc 3-com V	Never	Regularly	Regularly	Never	Never	Never	Regularly	Regularly
Hokkaido Japanese	24	BUILD	tate-ru	105, 106, 107, 108, 109, 110	1-nom 2-acc V	Regularly	Regularly	Regularly	Never	Regularly	Never	Regularly	Never
Hokkaido Japanese	25	BREAK	war-u	111, 112, 113, 114, 115, 116, 117, 417, 419	1-nom 2-acc (3-instr) V	Regularly	Regularly	Regularly	Never	Regularly	Never	Regularly	Regularly
Hokkaido Japanese	26	KILL	koros-u	118, 119, 120, 121	1-nom 2-acc (3-instr) V	Never	Regularly	Regularly	Never	Never	Never	Regularly	Never
Hokkaido Japanese	27	BEAT	tatak-u	122, 123, 124, 125, 126, 412	1-nom 2-acc (3-instr) V	Regularly	Regularly	Regularly	Never	Never	Never	Regularly	Regularly
Hokkaido Japanese	28	HIT	tatak-u	122, 123, 124, 125, 126, 412	1-nom 2-acc (3-instr) V	Regularly	Regularly	Regularly	Never	Never	Never	Regularly	Regularly
