Language_name	Meaning_number	Meaning_label	Verb_form	Basic_or_derived_coding_frame	Coding_frame_schema	Index_number	Microrole_name	Coding_set_name	Argument_type
Hokkaido Japanese	1	EAT	tabe-ru	Basic	1-nom 2-acc V	1	eater	NP-nom	A
Hokkaido Japanese	1	EAT	tabe-ru	Basic	1-nom 2-acc V	2	eaten food	NP-acc	P
Hokkaido Japanese	1	EAT	tabe-ru	Derived	1-nom 2-acc V'pot	1	eater	NP-nom	
Hokkaido Japanese	1	EAT	tabe-ru	Derived	1-nom 2-acc V'pot	2	eaten food	NP-acc	
Hokkaido Japanese	1	EAT	tabe-ru	Derived	2-nom 1-dat/niyotte V'pass	1	eater	NP-dat/niyotte	
Hokkaido Japanese	1	EAT	tabe-ru	Derived	2-nom 1-dat/niyotte V'pass	2	eaten food	NP-nom	
Hokkaido Japanese	1	EAT	tabe-ru	Derived	2-nom V'pot	2	eaten food	NP-nom	
Hokkaido Japanese	1	EAT	tabe-ru	Derived	4-nom 1-dat 2-acc V'cause	1	eater	NP-dat	
Hokkaido Japanese	1	EAT	tabe-ru	Derived	4-nom 1-dat 2-acc V'cause	2	eaten food	NP-acc	
Hokkaido Japanese	1	EAT	tabe-ru	Derived	4-nom 1-dat 2-acc V'cause	4	eat causer/feeder	NP-nom	
Hokkaido Japanese	2	HUG	dakituk-u	Basic	1-nom 2-dat V	1	hugger	NP-nom	S
Hokkaido Japanese	2	HUG	dakituk-u	Basic	1-nom 2-dat V	2	huggee	NP-dat	L
Hokkaido Japanese	2	HUG	dakituk-u	Derived	1-nom 2-dat V'pot	1	hugger	NP-nom	
Hokkaido Japanese	2	HUG	dakituk-u	Derived	1-nom 2-dat V'pot	2	huggee	NP-dat	
Hokkaido Japanese	2	HUG	dakituk-u	Derived	2-nom 1-dat/niyotte V'pass	1	hugger	NP-dat/niyotte	
Hokkaido Japanese	2	HUG	dakituk-u	Derived	2-nom 1-dat/niyotte V'pass	2	huggee	NP-nom	
Hokkaido Japanese	2	HUG	dakituk-u	Derived	2-nom V'pot	2	huggee	NP-nom	
Hokkaido Japanese	2	HUG	dakituk-u	Derived	4-nom 1-acc 2-dat V'caus	1	hugger	NP-acc	
Hokkaido Japanese	2	HUG	dakituk-u	Derived	4-nom 1-acc 2-dat V'caus	2	huggee	NP-dat	
Hokkaido Japanese	2	HUG	dakituk-u	Derived	4-nom 1-acc 2-dat V'caus	4	hug causer	NP-nom	
Hokkaido Japanese	3	LOOK AT	mi-ru	Basic	1-nom 2-acc V	1	looker	NP-nom	A
Hokkaido Japanese	3	LOOK AT	mi-ru	Basic	1-nom 2-acc V	2	looked at entity	NP-acc	P
Hokkaido Japanese	3	LOOK AT	mi-ru	Derived	1-nom 2-acc V'pot	1	looker	NP-nom	
Hokkaido Japanese	3	LOOK AT	mi-ru	Derived	1-nom 2-acc V'pot	2	looked at entity	NP-acc	
Hokkaido Japanese	3	LOOK AT	mi-ru	Derived	2-nom 1-dat/niyotte V'pass	1	looker	NP-dat/niyotte	
Hokkaido Japanese	3	LOOK AT	mi-ru	Derived	2-nom 1-dat/niyotte V'pass	2	looked at entity	NP-nom	
Hokkaido Japanese	3	LOOK AT	mi-ru	Derived	2-nom V'pot	2	looked at entity	NP-nom	
Hokkaido Japanese	3	LOOK AT	mi-ru	Derived	4-nom 1-dat 2-acc V'cause	1	looker	NP-dat	
Hokkaido Japanese	3	LOOK AT	mi-ru	Derived	4-nom 1-dat 2-acc V'cause	2	looked at entity	NP-acc	
Hokkaido Japanese	3	LOOK AT	mi-ru	Derived	4-nom 1-dat 2-acc V'cause	4	look causer	NP-nom	
Hokkaido Japanese	4	SEE	mi-ru	Basic	1-nom 2-acc V	1	seeer	NP-nom	A
Hokkaido Japanese	4	SEE	mi-ru	Basic	1-nom 2-acc V	2	seen entity	NP-acc	P
Hokkaido Japanese	4	SEE	mi-ru	Derived	1-nom 2-acc V'pot	1	seeer	NP-nom	
Hokkaido Japanese	4	SEE	mi-ru	Derived	1-nom 2-acc V'pot	2	seen entity	NP-acc	
Hokkaido Japanese	4	SEE	mi-ru	Derived	2-nom 1-dat/niyotte V'pass	1	seeer	NP-dat/niyotte	
Hokkaido Japanese	4	SEE	mi-ru	Derived	2-nom 1-dat/niyotte V'pass	2	seen entity	NP-nom	
Hokkaido Japanese	4	SEE	mi-ru	Derived	2-nom V'pot	2	seen entity	NP-nom	
Hokkaido Japanese	4	SEE	mi-ru	Derived	4-nom 1-dat 2-acc V'cause	1	seeer	NP-dat	
Hokkaido Japanese	4	SEE	mi-ru	Derived	4-nom 1-dat 2-acc V'cause	2	seen entity	NP-acc	
Hokkaido Japanese	4	SEE	mi-ru	Derived	4-nom 1-dat 2-acc V'cause	4	see causer	NP-nom	
Hokkaido Japanese	5	SMELL	kag-u	Basic	1-nom 2-acc V	1	smeller	NP-nom	A
Hokkaido Japanese	5	SMELL	kag-u	Basic	1-nom 2-acc V	2	smelled entity	NP-acc	P
Hokkaido Japanese	5	SMELL	kag-u	Derived	1-nom 2-acc V'pot	1	smeller	NP-nom	
Hokkaido Japanese	5	SMELL	kag-u	Derived	1-nom 2-acc V'pot	2	smelled entity	NP-acc	
Hokkaido Japanese	5	SMELL	kag-u	Derived	4-nom 1-dat 2-acc V'cause	1	smeller	NP-dat	
Hokkaido Japanese	5	SMELL	kag-u	Derived	4-nom 1-dat 2-acc V'cause	2	smelled entity	NP-acc	
Hokkaido Japanese	5	SMELL	kag-u	Derived	4-nom 1-dat 2-acc V'cause	4	smell causer	NP-nom	
Hokkaido Japanese	6	FEAR	kowagar-u	Basic	1-nom 2-acc V	1	fearer	NP-nom	A
Hokkaido Japanese	6	FEAR	kowagar-u	Basic	1-nom 2-acc V	2	fear stimulus	NP-acc	P
Hokkaido Japanese	6	FEAR	kowagar-u	Derived	2-nom 1-dat/niyotte V'pass	1	fearer	NP-dat/niyotte	
Hokkaido Japanese	6	FEAR	kowagar-u	Derived	2-nom 1-dat/niyotte V'pass	2	fear stimulus	NP-nom	
Hokkaido Japanese	6	FEAR	kowagar-u	Derived	4-nom 1-dat 2-acc V'cause	1	fearer	NP-dat	
