Language_name	Meaning_number	Meaning_label	Verb_form	Alternation_name	Alternation_occurs	Coding_frame_schema
Mitsukaido Japanese	1	EAT	ku:	causative	Regularly	4-nom 1-dat 2-acc V'rase
Mitsukaido Japanese	1	EAT	ku:	Direct passive	Regularly	2-nom (1-loc/dat) V'pass
Mitsukaido Japanese	1	EAT	ku:	indirect passive	Regularly	
Mitsukaido Japanese	1	EAT	ku:	lexical argument decreasing alternation	Never	
Mitsukaido Japanese	1	EAT	ku:	lexical argument increasing alternation	Never	
Mitsukaido Japanese	1	EAT	ku:	Object insertion	Never	
Mitsukaido Japanese	1	EAT	ku:	potential	Regularly	1-exp 2-acc V'pot
Mitsukaido Japanese	2	HUG	dag-u/dakko su-ru	causative	Regularly	4-nom 1-dat 2-acc V'rase
Mitsukaido Japanese	2	HUG	dag-u/dakko su-ru	Direct passive	Regularly	2-nom (1-loc/dat) V'pass
Mitsukaido Japanese	2	HUG	dag-u/dakko su-ru	indirect passive	Regularly	
Mitsukaido Japanese	2	HUG	dag-u/dakko su-ru	lexical argument decreasing alternation	Regularly	
Mitsukaido Japanese	2	HUG	dag-u/dakko su-ru	lexical argument increasing alternation	Never	
Mitsukaido Japanese	2	HUG	dag-u/dakko su-ru	Object insertion	Never	
Mitsukaido Japanese	2	HUG	dag-u/dakko su-ru	potential	Regularly	1-exp 2-acc V'pot
Mitsukaido Japanese	3	LOOK AT	mi-ru	causative	Regularly	4-nom 1-dat 2-acc V'rase
Mitsukaido Japanese	3	LOOK AT	mi-ru	Direct passive	Regularly	2-nom (1-loc/dat) V'pass
Mitsukaido Japanese	3	LOOK AT	mi-ru	indirect passive	Regularly	
Mitsukaido Japanese	3	LOOK AT	mi-ru	lexical argument decreasing alternation	Regularly	
Mitsukaido Japanese	3	LOOK AT	mi-ru	lexical argument increasing alternation	Never	
Mitsukaido Japanese	3	LOOK AT	mi-ru	Object insertion	Never	
Mitsukaido Japanese	3	LOOK AT	mi-ru	potential	Regularly	1-exp 2-acc V'pot
Mitsukaido Japanese	4	SEE	me:-ru	causative	Never	
Mitsukaido Japanese	4	SEE	me:-ru	Direct passive	Never	
Mitsukaido Japanese	4	SEE	me:-ru	indirect passive	Never	
Mitsukaido Japanese	4	SEE	me:-ru	lexical argument decreasing alternation	Never	
Mitsukaido Japanese	4	SEE	me:-ru	lexical argument increasing alternation	Regularly	1-nom 2-acc V'as/e
Mitsukaido Japanese	4	SEE	me:-ru	Object insertion	Never	
Mitsukaido Japanese	4	SEE	me:-ru	potential	Never	
Mitsukaido Japanese	5	SMELL	kang-u nioe	causative	Regularly	4-nom 1-acc V'rase
Mitsukaido Japanese	5	SMELL	kang-u nioe	Direct passive	Marginally	
Mitsukaido Japanese	5	SMELL	kang-u nioe	indirect passive	Regularly	
Mitsukaido Japanese	5	SMELL	kang-u nioe	lexical argument decreasing alternation	Never	
Mitsukaido Japanese	5	SMELL	kang-u nioe	lexical argument increasing alternation	Never	
Mitsukaido Japanese	5	SMELL	kang-u nioe	Object insertion	Never	
Mitsukaido Japanese	5	SMELL	kang-u nioe	potential	Regularly	1-exp V'pot
Mitsukaido Japanese	6	FEAR	okkanangar-u	causative	Regularly	4-nom 1-dat 2-acc V'rase
Mitsukaido Japanese	6	FEAR	okkanangar-u	Direct passive	Regularly	2-nom (1-loc/dat) V'pass
Mitsukaido Japanese	6	FEAR	okkanangar-u	indirect passive	Regularly	
Mitsukaido Japanese	6	FEAR	okkanangar-u	lexical argument decreasing alternation	Regularly	
Mitsukaido Japanese	6	FEAR	okkanangar-u	lexical argument increasing alternation	Never	
Mitsukaido Japanese	6	FEAR	okkanangar-u	Object insertion	Never	
Mitsukaido Japanese	6	FEAR	okkanangar-u	potential	Never	
Mitsukaido Japanese	7	FRIGHTEN	({ot/but})tamangeragas-u	causative	Marginally	
Mitsukaido Japanese	7	FRIGHTEN	({ot/but})tamangeragas-u	Direct passive	No data	
Mitsukaido Japanese	7	FRIGHTEN	({ot/but})tamangeragas-u	indirect passive	No data	
Mitsukaido Japanese	7	FRIGHTEN	({ot/but})tamangeragas-u	lexical argument decreasing alternation	No data	
Mitsukaido Japanese	7	FRIGHTEN	({ot/but})tamangeragas-u	lexical argument increasing alternation	No data	
Mitsukaido Japanese	7	FRIGHTEN	({ot/but})tamangeragas-u	Object insertion	Never	
Mitsukaido Japanese	7	FRIGHTEN	({ot/but})tamangeragas-u	potential	No data	
Mitsukaido Japanese	8	LIKE	ki-ni er-u	causative	Never	
Mitsukaido Japanese	8	LIKE	ki-ni er-u	Direct passive	No data	
Mitsukaido Japanese	8	LIKE	ki-ni er-u	indirect passive	No data	
Mitsukaido Japanese	8	LIKE	ki-ni er-u	lexical argument decreasing alternation	Never	
Mitsukaido Japanese	8	LIKE	ki-ni er-u	lexical argument increasing alternation	Never	
Mitsukaido Japanese	8	LIKE	ki-ni er-u	Object insertion	Never	
Mitsukaido Japanese	8	LIKE	ki-ni er-u	potential	Never	
Mitsukaido Japanese	8	LIKE	ski-da	causative	Never	
Mitsukaido Japanese	8	LIKE	ski-da	Direct passive	Never	
Mitsukaido Japanese	8	LIKE	ski-da	indirect passive	Never	
Mitsukaido Japanese	8	LIKE	ski-da	lexical argument decreasing alternation	Never	
Mitsukaido Japanese	8	LIKE	ski-da	lexical argument increasing alternation	Never	
Mitsukaido Japanese	8	LIKE	ski-da	Object insertion	Never	
Mitsukaido Japanese	8	LIKE	ski-da	potential	Never	
Mitsukaido Japanese	9	KNOW	sir-u	causative	Regularly	4-nom 1-dat 2-acc V'rase
Mitsukaido Japanese	9	KNOW	sir-u	Direct passive	Regularly	2-nom (1-loc/dat) V'pass
Mitsukaido Japanese	9	KNOW	sir-u	indirect passive	Regularly	
Mitsukaido Japanese	9	KNOW	sir-u	lexical argument decreasing alternation	Never	
Mitsukaido Japanese	9	KNOW	sir-u	lexical argument increasing alternation	Never	
Mitsukaido Japanese	9	KNOW	sir-u	Object insertion	Never	
Mitsukaido Japanese	9	KNOW	sir-u	potential	Never	
Mitsukaido Japanese	10	THINK	kangnge:-ru godo	causative	Regularly	4-nom 1-acc V'rase
Mitsukaido Japanese	10	THINK	kangnge:-ru godo	Direct passive	No data	
