Language_name	Meaning_number	Meaning_label	Verb_form	Alternation_name	Alternation_occurs	Coding_frame_schema
Ket	1	EAT	a⁰ (S-O-a-pl )	Anti-Causative Alternation	Never	
Ket	1	EAT	a⁰ (S-O-a-pl )	Causative	Never	
Ket	1	EAT	a⁰ (S-O-a-pl )	Comitative Alternation	Never	
Ket	1	EAT	a⁰ (S-O-a-pl )	Incorporation	Regularly	
Ket	1	EAT	a⁰ (S-O-a-pl )	Reflexive/Reciprocal Alternation	Never	
Ket	1	EAT	a⁰ (S-O-a-pl )	Resultative	Never	
Ket	2	HUG	hataŋ⁷-k⁵-bed⁰ (S-hataŋ-O-k-bed-pl)	Anti-Causative Alternation	Never	
Ket	2	HUG	hataŋ⁷-k⁵-bed⁰ (S-hataŋ-O-k-bed-pl)	Causative	Never	
Ket	2	HUG	hataŋ⁷-k⁵-bed⁰ (S-hataŋ-O-k-bed-pl)	Comitative Alternation	Never	
Ket	2	HUG	hataŋ⁷-k⁵-bed⁰ (S-hataŋ-O-k-bed-pl)	Incorporation	Never	
Ket	2	HUG	hataŋ⁷-k⁵-bed⁰ (S-hataŋ-O-k-bed-pl)	Reflexive/Reciprocal Alternation	Regularly	
Ket	2	HUG	hataŋ⁷-k⁵-bed⁰ (S-hataŋ-O-k-bed-pl)	Resultative	Regularly	
Ket	3	LOOK AT	ŋ⁵-qo⁰ (S-S-ŋ-qo-pl )	Anti-Causative Alternation	Never	
Ket	3	LOOK AT	ŋ⁵-qo⁰ (S-S-ŋ-qo-pl )	Causative	Never	
Ket	3	LOOK AT	ŋ⁵-qo⁰ (S-S-ŋ-qo-pl )	Comitative Alternation	Never	
Ket	3	LOOK AT	ŋ⁵-qo⁰ (S-S-ŋ-qo-pl )	Incorporation	Never	
Ket	3	LOOK AT	ŋ⁵-qo⁰ (S-S-ŋ-qo-pl )	Reflexive/Reciprocal Alternation	Never	
Ket	3	LOOK AT	ŋ⁵-qo⁰ (S-S-ŋ-qo-pl )	Resultative	Never	
Ket	4	SEE	t⁵-oŋ⁰ (S-O-t-oŋ-pl)	Anti-Causative Alternation	Never	
Ket	4	SEE	t⁵-oŋ⁰ (S-O-t-oŋ-pl)	Causative	Never	
Ket	4	SEE	t⁵-oŋ⁰ (S-O-t-oŋ-pl)	Comitative Alternation	Never	
Ket	4	SEE	t⁵-oŋ⁰ (S-O-t-oŋ-pl)	Incorporation	Never	
Ket	4	SEE	t⁵-oŋ⁰ (S-O-t-oŋ-pl)	Reflexive/Reciprocal Alternation	Regularly	
Ket	4	SEE	t⁵-oŋ⁰ (S-O-t-oŋ-pl)	Resultative	Never	
Ket	5	SMELL	it⁷-it⁰ (S-it-it-pl)	Anti-Causative Alternation	Never	
