Language_name	Meaning_number	Meaning_label	Verb_form	Basic_or_derived_coding_frame	Coding_frame_schema	Index_number	Microrole_name	Coding_set_name	Argument_type
Ket	1	EAT	a⁰ (S-O-a-pl )	Basic	1 2 subj[1].obj[2].V	1	eater	subj.V	A
Ket	1	EAT	a⁰ (S-O-a-pl )	Basic	1 2 subj[1].obj[2].V	2	eaten food	obj.V	P
Ket	2	HUG	hataŋ⁷-k⁵-bed⁰ (S-hataŋ-O-k-bed-pl)	Basic	1 2 subj[1].obj[2].V	1	hugger	subj.V	A
Ket	2	HUG	hataŋ⁷-k⁵-bed⁰ (S-hataŋ-O-k-bed-pl)	Basic	1 2 subj[1].obj[2].V	2	huggee	obj.V	P
Ket	3	LOOK AT	ŋ⁵-qo⁰ (S-S-ŋ-qo-pl )	Basic	1 2-poss+tān subj[1].V	1	looker	subj.V	S
Ket	3	LOOK AT	ŋ⁵-qo⁰ (S-S-ŋ-qo-pl )	Basic	1 2-poss+tān subj[1].V	2	looked at entity	NP-poss+tān	X
Ket	4	SEE	t⁵-oŋ⁰ (S-O-t-oŋ-pl)	Basic	1 2 subj[1].obj[2].V	1	seeer	subj.V	A
Ket	4	SEE	t⁵-oŋ⁰ (S-O-t-oŋ-pl)	Basic	1 2 subj[1].obj[2].V	2	seen entity	obj.V	P
Ket	5	SMELL	it⁷-it⁰ (S-it-it-pl)	Basic	1 2-abl subj[1].V	1	smeller	subj.V	S
Ket	5	SMELL	it⁷-it⁰ (S-it-it-pl)	Basic	1 2-abl subj[1].V	2	smelled entity	NP-abl	X
Ket	6	FEAR	qoranej (7)-bed (0) (S-qoranej-bed-pl)	Basic	1 2-abl subj[1].V	1	fearer	subj.V	S
Ket	6	FEAR	qoranej (7)-bed (0) (S-qoranej-bed-pl)	Basic	1 2-abl subj[1].V	2	fear stimulus	NP-abl	X
Ket	6	FEAR	t⁵-ok⁰ (S-S-t-ok-pl )	Basic	1 2-abl subj[1].V	1	fearer	subj.V	S
Ket	6	FEAR	t⁵-ok⁰ (S-S-t-ok-pl )	Basic	1 2-abl subj[1].V	2	fear stimulus	NP-abl	X
Ket	7	FRIGHTEN	qoraŋ⁷-q⁵-t~a⁰ (S-qodaŋ-q-O-t-pl )	Basic	1 2 subj[1].obj[2].V	1	frightener	subj.V	A
Ket	7	FRIGHTEN	qoraŋ⁷-q⁵-t~a⁰ (S-qodaŋ-q-O-t-pl )	Basic	1 2 subj[1].obj[2].V	2	frightenee	obj.V	P
Ket	8	LIKE	aqt⁷-qan⁰ (SANIM.SG-aqta-qan)	Basic	1 2-dat subj[1].V	1	liked entity	subj.V	S
Ket	8	LIKE	aqt⁷-qan⁰ (SANIM.SG-aqta-qan)	Basic	1 2-dat subj[1].V	2	liker	NP-dat	X
Ket	9	KNOW	(qoŋ) it⁷-am⁰	Basic	1 2 subj[1].V	1	knower	subj.V	S
Ket	9	KNOW	(qoŋ) it⁷-am⁰	Basic	1 2 subj[1].V	2	known thing/person	Ø	X
Ket	10	THINK	aniŋ⁷-bed⁰ (S-an-bed-pl)	Basic	1 2-adess subj[1].V	1	thinker	subj.V	S
Ket	10	THINK	aniŋ⁷-bed⁰ (S-an-bed-pl)	Basic	1 2-adess subj[1].V	2	thought content	NP-adess	X
Ket	11	SEARCH FOR	saŋ⁷-bed⁰ (S-saŋ-bed-pl)	Basic	1 2-adess subj[1].V	1	searcher	subj.V	S
Ket	11	SEARCH FOR	saŋ⁷-bed⁰ (S-saŋ-bed-pl)	Basic	1 2-adess subj[1].V	2	searched for thing	NP-adess	X
Ket	12	WASH	ul⁷-d⁴-kaŋ⁰ (S-ul-d-O-kŋ-pl)	Basic	1 2 subj[1].obj[2].V	1	washer	subj.V	A
Ket	12	WASH	ul⁷-d⁴-kaŋ⁰ (S-ul-d-O-kŋ-pl)	Basic	1 2 subj[1].obj[2].V	2	washed entity	obj.V	P
Ket	13	DRESS	sa⁰ (S-O-sa-pl)	Basic	1 2 subj[1].obj[2].V	1	dresser	subj.V	A
Ket	13	DRESS	sa⁰ (S-O-sa-pl)	Basic	1 2 subj[1].obj[2].V	2	dressee	obj.V	P
Ket	14	SHAVE (a body part/person)	k⁵-a⁰ (S-k-O-a-pl)	Basic	1 2 (3-instr) subj[1].obj[2].V	1	shaver (of body part)	subj.V	A
Ket	14	SHAVE (a body part/person)	k⁵-a⁰ (S-k-O-a-pl)	Basic	1 2 (3-instr) subj[1].obj[2].V	2	shaved body part	obj.V	P
Ket	14	SHAVE (a body part/person)	k⁵-a⁰ (S-k-O-a-pl)	Basic	1 2 (3-instr) subj[1].obj[2].V	3	shaving instrument	NP-instr	I
Ket	15	HELP	posovat⁷-k⁵-bed⁰ (S-pomagad-O-k-bed-pl )	Basic	1 2 subj[1].obj[2].V	1	helper	subj.V	A
