Language_name	Meaning_number	Meaning_label	Verb_form	Alternation_name	Alternation_occurs	Coding_frame_schema
Korean	1	EAT	meogda	Benefactive Alternation	Never	
Korean	1	EAT	meogda	Causative (morphological)	Regularly	4-nom 1-dat 2-acc causV'
Korean	1	EAT	meogda	Causative (periphrastic)	Regularly	
Korean	1	EAT	meogda	hada-alternation	Never	
Korean	1	EAT	meogda	ji-Passive (periphrastic)	Regularly	2-nom passperV'
Korean	1	EAT	meogda	Locative alternation	Never	
Korean	1	EAT	meogda	Passive (morphological)	Regularly	2-nom 1-dat passV'
Korean	1	EAT	meogda	Possessor ascension	Regularly	
Korean	1	EAT	meogda	Recipient double accusative alternation	Never	
Korean	1	EAT	meogda	Reciprocal Alternation	Never	
Korean	2	HUG	anda	Benefactive Alternation	Never	
Korean	2	HUG	anda	Causative (morphological)	Regularly	4-nom 1-dat 2-acc causV'
Korean	2	HUG	anda	Causative (periphrastic)	Regularly	
Korean	2	HUG	anda	hada-alternation	Never	
Korean	2	HUG	anda	ji-Passive (periphrastic)	Never	
Korean	2	HUG	anda	Locative alternation	Never	
Korean	2	HUG	anda	Passive (morphological)	Regularly	2-nom 1-dat passV'
Korean	2	HUG	anda	Possessor ascension	Regularly	
Korean	2	HUG	anda	Recipient double accusative alternation	Never	
Korean	2	HUG	anda	Reciprocal Alternation	Regularly	1-nom 2-com V'
Korean	3	LOOK AT	baraboda	Benefactive Alternation	Never	
Korean	3	LOOK AT	baraboda	Causative (morphological)	Never	
Korean	3	LOOK AT	baraboda	Causative (periphrastic)	Regularly	
Korean	3	LOOK AT	baraboda	hada-alternation	Never	
Korean	3	LOOK AT	baraboda	ji-Passive (periphrastic)	Never	
Korean	3	LOOK AT	baraboda	Locative alternation	Never	
Korean	3	LOOK AT	baraboda	Passive (morphological)	Never	
Korean	3	LOOK AT	baraboda	Possessor ascension	Regularly	
Korean	3	LOOK AT	baraboda	Recipient double accusative alternation	Never	
Korean	3	LOOK AT	baraboda	Reciprocal Alternation	Never	
Korean	4	SEE	boda	Benefactive Alternation	Never	
Korean	4	SEE	boda	Causative (morphological)	Regularly	4-nom 1-dat 2-acc causV'
Korean	4	SEE	boda	Causative (periphrastic)	Regularly	
Korean	4	SEE	boda	hada-alternation	Never	
Korean	4	SEE	boda	ji-Passive (periphrastic)	Regularly	2-nom passperV'
Korean	4	SEE	boda	Locative alternation	Never	
Korean	4	SEE	boda	Passive (morphological)	Regularly	2-nom 1-dat passV'
Korean	4	SEE	boda	Possessor ascension	Regularly	
Korean	4	SEE	boda	Recipient double accusative alternation	Never	
Korean	4	SEE	boda	Reciprocal Alternation	Never	
Korean	5	SMELL	naemsaereul matta	Benefactive Alternation	Never	
Korean	5	SMELL	naemsaereul matta	Causative (morphological)	Never	
Korean	5	SMELL	naemsaereul matta	Causative (periphrastic)	Regularly	
Korean	5	SMELL	naemsaereul matta	hada-alternation	Never	
Korean	5	SMELL	naemsaereul matta	ji-Passive (periphrastic)	Never	
Korean	5	SMELL	naemsaereul matta	Locative alternation	Never	
Korean	5	SMELL	naemsaereul matta	Passive (morphological)	Never	
Korean	5	SMELL	naemsaereul matta	Possessor ascension	Regularly	
Korean	5	SMELL	naemsaereul matta	Recipient double accusative alternation	Never	
Korean	5	SMELL	naemsaereul matta	Reciprocal Alternation	Never	
Korean	6	FEAR	museobda	Benefactive Alternation	Never	
Korean	6	FEAR	museobda	Causative (morphological)	Never	
Korean	6	FEAR	museobda	Causative (periphrastic)	Never	
Korean	6	FEAR	museobda	hada-alternation	Regularly	
Korean	6	FEAR	museobda	ji-Passive (periphrastic)	Never	
Korean	6	FEAR	museobda	Locative alternation	Never	
Korean	6	FEAR	museobda	Passive (morphological)	Never	
