Language_name	Meaning_number	Meaning_label	Verb_form	Alternation_name	Alternation_occurs	Coding_frame_schema
Mandinka	1	EAT	dómo	Active/Passive Alternation	Regularly	
Mandinka	1	EAT	dómo	Antipassive Middle	Never	
Mandinka	1	EAT	dómo	Causative Alternation	Never	
Mandinka	1	EAT	dómo	Causative Derivation 1	Never	
Mandinka	1	EAT	dómo	Causative Derivation 2	Regularly	
Mandinka	1	EAT	dómo	Deobjective Alternation	Never	
Mandinka	1	EAT	dómo	Intransitive/Middle Alternation	Never	
Mandinka	1	EAT	dómo	Noncausative Alternation	Never	
Mandinka	1	EAT	dómo	Object/Oblique Permutation	Never	
Mandinka	1	EAT	dómo	Oblique/Object Alternation	Never	
Mandinka	1	EAT	dómo	Postposition Incorporation	Never	
Mandinka	1	EAT	dómo	Subject/Oblique Alternation	Never	
Mandinka	2	HUG	míniŋ	Active/Passive Alternation	Never	
Mandinka	2	HUG	míniŋ	Antipassive Middle	Never	
Mandinka	2	HUG	míniŋ	Causative Alternation	Regularly	
Mandinka	2	HUG	míniŋ	Causative Derivation 1	Never	
Mandinka	2	HUG	míniŋ	Causative Derivation 2	Marginally	
Mandinka	2	HUG	míniŋ	Deobjective Alternation	Never	
Mandinka	2	HUG	míniŋ	Intransitive/Middle Alternation	Marginally	
Mandinka	2	HUG	míniŋ	Noncausative Alternation	No data	
Mandinka	2	HUG	míniŋ	Object/Oblique Permutation	Never	
Mandinka	2	HUG	míniŋ	Oblique/Object Alternation	Marginally	
Mandinka	2	HUG	míniŋ	Postposition Incorporation	Never	
Mandinka	2	HUG	míniŋ	Subject/Oblique Alternation	Never	
Mandinka	3	LOOK AT	féle	Active/Passive Alternation	Marginally	
Mandinka	3	LOOK AT	féle	Antipassive Middle	Never	
Mandinka	3	LOOK AT	féle	Causative Alternation	Never	
Mandinka	3	LOOK AT	féle	Causative Derivation 1	Never	
Mandinka	3	LOOK AT	féle	Causative Derivation 2	Marginally	
Mandinka	3	LOOK AT	féle	Deobjective Alternation	Never	
Mandinka	3	LOOK AT	féle	Intransitive/Middle Alternation	Never	
Mandinka	3	LOOK AT	féle	Noncausative Alternation	Never	
Mandinka	3	LOOK AT	féle	Object/Oblique Permutation	Never	
Mandinka	3	LOOK AT	féle	Oblique/Object Alternation	Never	
Mandinka	3	LOOK AT	féle	Postposition Incorporation	Never	
Mandinka	3	LOOK AT	féle	Subject/Oblique Alternation	Never	
Mandinka	4	SEE	jé	Active/Passive Alternation	Regularly	
Mandinka	4	SEE	jé	Antipassive Middle	Regularly	
Mandinka	4	SEE	jé	Causative Alternation	Never	
Mandinka	4	SEE	jé	Causative Derivation 1	Never	
Mandinka	4	SEE	jé	Causative Derivation 2	Regularly	
Mandinka	4	SEE	jé	Deobjective Alternation	Never	
Mandinka	4	SEE	jé	Intransitive/Middle Alternation	Never	
Mandinka	4	SEE	jé	Noncausative Alternation	Never	
Mandinka	4	SEE	jé	Object/Oblique Permutation	Never	
Mandinka	4	SEE	jé	Oblique/Object Alternation	Never	
Mandinka	4	SEE	jé	Postposition Incorporation	Never	
Mandinka	4	SEE	jé	Subject/Oblique Alternation	Never	
Mandinka	5	SMELL	súmbu	Active/Passive Alternation	Marginally	
Mandinka	5	SMELL	súmbu	Antipassive Middle	Never	
Mandinka	5	SMELL	súmbu	Causative Alternation	Never	
Mandinka	5	SMELL	súmbu	Causative Derivation 1	Never	
Mandinka	5	SMELL	súmbu	Causative Derivation 2	Marginally	
Mandinka	5	SMELL	súmbu	Deobjective Alternation	Never	
Mandinka	5	SMELL	súmbu	Intransitive/Middle Alternation	Never	
Mandinka	5	SMELL	súmbu	Noncausative Alternation	Never	
Mandinka	5	SMELL	súmbu	Object/Oblique Permutation	Never	
Mandinka	5	SMELL	súmbu	Oblique/Object Alternation	Never	
Mandinka	5	SMELL	súmbu	Postposition Incorporation	Never	
Mandinka	5	SMELL	súmbu	Subject/Oblique Alternation	Never	
Mandinka	6	FEAR	sílaŋ	Active/Passive Alternation	Never	
Mandinka	6	FEAR	sílaŋ	Antipassive Middle	Never	
Mandinka	6	FEAR	sílaŋ	Causative Alternation	Never	
Mandinka	6	FEAR	sílaŋ	Causative Derivation 1	Regularly	
Mandinka	6	FEAR	sílaŋ	Causative Derivation 2	Never	
Mandinka	6	FEAR	sílaŋ	Deobjective Alternation	Never	
Mandinka	6	FEAR	sílaŋ	Intransitive/Middle Alternation	Never	
Mandinka	6	FEAR	sílaŋ	Noncausative Alternation	Never	
Mandinka	6	FEAR	sílaŋ	Object/Oblique Permutation	Never	
Mandinka	6	FEAR	sílaŋ	Oblique/Object Alternation	Never	
Mandinka	6	FEAR	sílaŋ	Postposition Incorporation	Never	
