Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Mapudungun	1	Elicited from speaker	Ti wentru takulmafi ti makuñ ti pichiche.		ti wentru taku-l-ma-fi ti makuñ ti pichi-che	ART man cover-CAUS1-APPL2-3O ART blanket ART little-person	The man covered the child with the blanket.
Mapudungun	2	Elicited from speaker	Ti wentru takulfi ti pichiche ti makuñ mew.		ti wentru taku-l-fi ti pichi-che ti makuñ mew	ART man cover-CAUS1-3O ART little-person ART blanket PPOS	The man covered the child with the blanket.
Mapudungun	3	Elicited from speaker	Ti wentru apoli ñi shifüñ ko mew.		ti wentru apo-l-i ñi shifüñ ko mew	ART man fill-CAUS1-IND 3.PSR bowl/glass water PPOS	The man filled the glass with water.
Mapudungun	4	Elicited from speaker	Ti wentru chechümi ti kareta kachu mew.		ti wentru chechüm-i ti kareta kachu mew	ART man load-IND ART cart grass/hay PPOS	The man loaded the hay on the cart.
Mapudungun	5	Elicited from speaker	Trapeli ñi kawell ti wentru.		trapel-i ñi kawell ti wentru	tie-IND 3.PSR horse ART man	The man tied his horse.
Mapudungun	6	Elicited from speaker	Ti wentru wütruntukuy ko shifüñ mew.		ti wentru wütrun-tuku-i ko shifüñ mew	ART man flow-put-IND water bowl/glass PPOS	The man poured water into the glass.
Mapudungun	7	Elicited from speaker	Wenta mesa mew eli ñi lifru ti wentru.		wenta mesa mew el-i ñi lifru ti wentru	above table PPOS put-IND 3.PSR book ART man	The man put his book on the table.
Mapudungun	8	Elicited from speaker	Kiñe kura ütrüftufi ti ventana mew ti pichi wentru.		kiñe kura ütrüf-tu-fi ti ventana mew ti pichi wentru	one stone throw-APPL3-3O ART window PPOS ART little man	The boy threw a stone into the window.
Mapudungun	9	Elicited from speaker	Ti pichi malen küpalelfi kiñe rayen ñi kimeltuchefe.		ti pichi malen küpa-l-el-fi kiñe rayen ñi kimeltuchefe	ART little girl come-CAUS1-APPL1-3O one flower 3.PSR teacher	The girl brought the flower to the teacher.
Mapudungun	10		Ti pichi malen yelfi kiñe rayen ñi kimeltuchefe.		ti pichi malen ye-l-fi kiñe rayen ñi kimeltuchefe	ART little girl carry-APPL1-3O one flower 3.PSR teacher	The girl carried a flower to the teacher.
Mapudungun	11		Ti pichi malen yetuy kiñe rayen colegio mew.		ti pichi malen ye-tu-i kiñe rayen colegio mew	ART little girl carry-TEL-IND one flower school PPOS	The girl carried a flower to school.
Mapudungun	12		Ti pichi malen amulelfi ti lifru ñi kimeltuchefe.		ti pichi malen amu-l-el-fi ti lifru ñi kimeltuchefe	ART little girl go-CAUS1-APPL1-3O ART book 3.PSR teacher	The girl sent the book to her teacher.
Mapudungun	13		Ti pichi malen amuli ti lifru ñi colegio mew.		ti pichi malen amu-l-i ti lifru ñi colegio mew	ART little girl go-CAUS1-IND ART book 3.PSR school PPOS	The girl sent the book to her school.
Mapudungun	14		Elufi lifru ñi kimeltuchefe ti pichi wentru.		elu-fi lifru ñi kimeltuchefe ti pichi wentru	give-3O book 3.PSR teacher ART little man	The boy gave a book to the teacher.
Mapudungun	15		Pengelfi lifru ñi kimeltuchefe ti pichi wentru.		penge-l-fi lifru ñi kimeltuchefe ti pichi wentru	show-APPL1-3O book 3.PSR teacher ART little man	The boy showed a book to the teacher.
Mapudungun	16		Ti pichi wentru llowmafi ti lifru ñi kimeltuchefe.		ti pichi wentru llow-ma-fi ti lifru ñi kimeltuchefe	ART little man receive-APPL2-3O ART book 3.PSR teacher	The boy got the book from the teacher.
Mapudungun	17		Ti pichi wentru weñeñmafi ti lifru ti kimeltuchefe.		ti pichi wentru weñe-ñma-fi ti lifru ti kimeltuchefe	ART little man steal-APPL2-3O ART book ART teacher	The boy stole the book from the teacher.
Mapudungun	18		Ti pichi wentru llumümmafi ti lifru ñi kimeltuchefe.		ti pichi wentru llum-üm-ma-fi ti lifru ñi kimeltuchefe	ART little man hide-CAUS-APPL2-3O ART book 3.PSR teacher	The boy hid the book from the teacher.
Mapudungun	19		Kacharnentumay ñi lifru kiñe hoja ti pichi wentru.		kacharnentu-ma-i ñi lifru kiñe hoja ti pichi wentru	tear.out-APPL2-IND 3.PSR book one page ART little man	The boy tore a page from the book.
Mapudungun	20		Katrüy ti kofke ti pichi wentru kuchillu engu.		katrü-i ti kofke ti pichi wentru kuchillu engu	cut-IND ART bread ART little man knife 3DU	The boy cut the bread with a knife.
Mapudungun	21		Kiñe mamüll mew kachillmafi ti filu ti pichi wentru.		kiñe mamüll mew kachillma-fi ti filu ti pichi wentru	one wood PPOS touch-3O ART snake ART little man	The boy touched the snake with a stick.
Mapudungun	22		Kiñe mamüll mew trawawi ti filu ti pichi wentru.		kiñe mamüll mew trawaw-i ti filu ti pichi wentru	one wood PPOS hit-IND ART snake ART little man	The boy hit the snake with a stick.
Mapudungun	23		Kiñe mamüll mew trawawtrawawtuy ti filu ti pichi wentru.		kiñe mamüll mew trawaw~trawaw-tu-i ti filu ti pichi wentru	one wood PPOS hit~REDUP-ITER-IND ART snake ART little man	The boy beat the snake with a stick.
