Language_name	Meaning_number	Meaning_label	Verb_form	Alternation_name	Alternation_occurs	Coding_frame_schema
Mapudungun	1	EAT	in	Applicative 1	Marginally	
Mapudungun	1	EAT	in	Applicative 2	Regularly	
Mapudungun	1	EAT	in	Applicative 3	Never	
Mapudungun	1	EAT	in	Applicative 4	Never	
Mapudungun	1	EAT	in	Causative1	No data	
Mapudungun	1	EAT	in	Causative2	No data	
Mapudungun	1	EAT	in	Labile	Regularly	
Mapudungun	1	EAT	in	Reflexive	Never	
Mapudungun	2	HUG	rofülün	Applicative 1	Never	
Mapudungun	2	HUG	rofülün	Applicative 2	Never	
Mapudungun	2	HUG	rofülün	Applicative 3	Never	
Mapudungun	2	HUG	rofülün	Applicative 4	Never	
Mapudungun	2	HUG	rofülün	Causative1	Never	
Mapudungun	2	HUG	rofülün	Causative2	Never	
Mapudungun	2	HUG	rofülün	Labile	Never	
Mapudungun	2	HUG	rofülün	Reflexive	Marginally	
Mapudungun	3	LOOK AT	adkintun	Applicative 1	Regularly	
Mapudungun	3	LOOK AT	adkintun	Applicative 2	Regularly	
Mapudungun	3	LOOK AT	adkintun	Applicative 3	Never	
Mapudungun	3	LOOK AT	adkintun	Applicative 4	Never	
Mapudungun	3	LOOK AT	adkintun	Causative1	Never	
Mapudungun	3	LOOK AT	adkintun	Causative2	Never	
Mapudungun	3	LOOK AT	adkintun	Labile	Regularly	
Mapudungun	3	LOOK AT	adkintun	Reflexive	Never	
Mapudungun	3	LOOK AT	lelin	Applicative 1	Regularly	
Mapudungun	3	LOOK AT	lelin	Applicative 2	Regularly	
Mapudungun	3	LOOK AT	lelin	Applicative 3	Never	
Mapudungun	3	LOOK AT	lelin	Applicative 4	Never	
Mapudungun	3	LOOK AT	lelin	Causative1	Never	
Mapudungun	3	LOOK AT	lelin	Causative2	Never	
Mapudungun	3	LOOK AT	lelin	Labile	Regularly	
Mapudungun	3	LOOK AT	lelin	Reflexive	Regularly	
Mapudungun	4	SEE	pen	Applicative 1	Regularly	
Mapudungun	4	SEE	pen	Applicative 2	Regularly	
Mapudungun	4	SEE	pen	Applicative 3	Never	
Mapudungun	4	SEE	pen	Applicative 4	Never	
Mapudungun	4	SEE	pen	Causative1	Never	
Mapudungun	4	SEE	pen	Causative2	Never	
Mapudungun	4	SEE	pen	Labile	Never	
Mapudungun	4	SEE	pen	Reflexive	Regularly	
Mapudungun	5	SMELL	ṉümütun	Applicative 1	Regularly	
Mapudungun	5	SMELL	ṉümütun	Applicative 2	Regularly	
Mapudungun	5	SMELL	ṉümütun	Applicative 3	Never	
Mapudungun	5	SMELL	ṉümütun	Applicative 4	Never	
Mapudungun	5	SMELL	ṉümütun	Causative1	Never	
Mapudungun	5	SMELL	ṉümütun	Causative2	Never	
Mapudungun	5	SMELL	ṉümütun	Labile	Never	
Mapudungun	5	SMELL	ṉümütun	Reflexive	Marginally	
Mapudungun	6	FEAR	llükan	Applicative 1	Regularly	
Mapudungun	6	FEAR	llükan	Applicative 2	Never	
Mapudungun	6	FEAR	llükan	Applicative 3	Never	
Mapudungun	6	FEAR	llükan	Applicative 4	Never	
Mapudungun	6	FEAR	llükan	Causative1	No data	
Mapudungun	6	FEAR	llükan	Causative2	No data	
