Language_name	Meaning_number	Meaning_label	Verb_form	Alternation_name	Alternation_occurs	Coding_frame_schema
Ojibwe	1	EAT	miijid	Antipassive -ige	Never	
Ojibwe	1	EAT	miijid	Antipassive -iwe	Never	
Ojibwe	1	EAT	miijid	Applicative	Never	
Ojibwe	1	EAT	miijid	Body Part Incorporation	Never	
Ojibwe	1	EAT	miijid	Causative Simple	Never	
Ojibwe	1	EAT	miijid	Lexical passive	Never	
Ojibwe	1	EAT	miijid	Reciprocal	Never	
Ojibwe	1	EAT	miijid	Reflexive	Never	
Ojibwe	1	EAT	mwaad	Antipassive -ige	Never	
Ojibwe	1	EAT	mwaad	Antipassive -iwe	Never	
Ojibwe	1	EAT	mwaad	Applicative	Never	
Ojibwe	1	EAT	mwaad	Body Part Incorporation	Never	
Ojibwe	1	EAT	mwaad	Causative Simple	Never	
Ojibwe	1	EAT	mwaad	Lexical passive	Regularly	
Ojibwe	1	EAT	mwaad	Reciprocal	Regularly	
Ojibwe	1	EAT	mwaad	Reflexive	Regularly	
Ojibwe	2	HUG	aabtoojiinaad	Antipassive -ige	Regularly	
Ojibwe	2	HUG	aabtoojiinaad	Antipassive -iwe	Regularly	
Ojibwe	2	HUG	aabtoojiinaad	Applicative	Regularly	
Ojibwe	2	HUG	aabtoojiinaad	Body Part Incorporation	Never	
Ojibwe	2	HUG	aabtoojiinaad	Causative Simple	Never	
Ojibwe	2	HUG	aabtoojiinaad	Lexical passive	Regularly	
Ojibwe	2	HUG	aabtoojiinaad	Reciprocal	Regularly	
Ojibwe	2	HUG	aabtoojiinaad	Reflexive	Regularly	
Ojibwe	3	LOOK AT	gnawaabmaad	Antipassive -ige	Regularly	
Ojibwe	3	LOOK AT	gnawaabmaad	Antipassive -iwe	Never	
Ojibwe	3	LOOK AT	gnawaabmaad	Applicative	Never	
Ojibwe	3	LOOK AT	gnawaabmaad	Body Part Incorporation	Never	
Ojibwe	3	LOOK AT	gnawaabmaad	Causative Simple	Never	
Ojibwe	3	LOOK AT	gnawaabmaad	Lexical passive	Regularly	
Ojibwe	3	LOOK AT	gnawaabmaad	Reciprocal	Regularly	
Ojibwe	3	LOOK AT	gnawaabmaad	Reflexive	Regularly	
Ojibwe	3	LOOK AT	gnawaabndang	Antipassive -ige	Never	
Ojibwe	3	LOOK AT	gnawaabndang	Antipassive -iwe	Never	
Ojibwe	3	LOOK AT	gnawaabndang	Applicative	Never	
Ojibwe	3	LOOK AT	gnawaabndang	Body Part Incorporation	Never	
Ojibwe	3	LOOK AT	gnawaabndang	Causative Simple	Never	
Ojibwe	3	LOOK AT	gnawaabndang	Lexical passive	Never	
Ojibwe	3	LOOK AT	gnawaabndang	Reciprocal	Never	
Ojibwe	3	LOOK AT	gnawaabndang	Reflexive	Never	
Ojibwe	4	SEE	waabmaad	Antipassive -ige	Regularly	
Ojibwe	4	SEE	waabmaad	Antipassive -iwe	Never	
Ojibwe	4	SEE	waabmaad	Applicative	Regularly	
Ojibwe	4	SEE	waabmaad	Body Part Incorporation	Never	
Ojibwe	4	SEE	waabmaad	Causative Simple	Never	
Ojibwe	4	SEE	waabmaad	Lexical passive	Regularly	
Ojibwe	4	SEE	waabmaad	Reciprocal	Regularly	
Ojibwe	4	SEE	waabmaad	Reflexive	Regularly	
Ojibwe	4	SEE	waabndang	Antipassive -ige	Never	
Ojibwe	4	SEE	waabndang	Antipassive -iwe	Never	
Ojibwe	4	SEE	waabndang	Applicative	Never	
Ojibwe	4	SEE	waabndang	Body Part Incorporation	Never	
Ojibwe	4	SEE	waabndang	Causative Simple	Never	
Ojibwe	4	SEE	waabndang	Lexical passive	Never	
