Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Russian	1	Elicited from speaker	On nagruzil seno na telegu.	Он нагрузил сено на телегу.	on na-gruzil seno na teleg-u	he PFV-loaded hay.ACC on cart-ACC	He loaded the hay onto the cart.
Russian	2	Elicited from speaker	On zagruzil telegu senom.	Он загрузил телегу сеном.	on za-gruzil teleg-u sen-om	he PFV-loaded cart-ACC hay-INS	He loaded the cart with hay.
Russian	3	Constructed by native speaker linguist	Oni privjazali verëvku k derevu.	Они привязали верёвку к дереву.	oni privjaza-l-i verëvk-u k derev-u	they tie-PST-PL rope-ACC to tree-DAT	They tied the rope to a tree.
Russian	4	Constructed by native speaker linguist	On obvjazal derevo verëvkoj.	Он обвязал дерево верёвкой.	on ob-vjaza-l derevo verëvk-oj	he PFV-tie-PST.M.SG tree.ACC rope-INS	He tied (around) the tree with the rope.
Russian	5	Elicited from speaker	Voda zalila polja.	Вода залила поля.	voda za-lila polja	water PFV-pour.PST fields.ACC	The water poured into fields.
Russian	6	Elicited from speaker	On ukral vešči u soseda.	Он украл вещи у соседа.	on ukral vešči u sosed-a	he steal.PST.M.SG thing.PL.ACC from neighbor-GEN	He stole property from his neighbor.
Russian	7	Elicited from speaker	On obokral soseda.	Он обокрал соседа.	on obo-kral sosed-a	he PFV-steal neighbor-ACC	He robbed a neighbor.
Russian	8	Elicited from speaker	On obtër stol.	Он обтёр стол.	on ob-tër stol	he PFV-wipe.PST.M.SG table.ACC	He wiped down the table.
Russian	9	Elicited from speaker	Ona vyterla grjazʹ so stola.	Она вытерла грязь со стола.	ona vyter-l-a grjazʹ so stol-a	she wipe-PST-F.SG dirt.ACC off table-GEN	She wiped the dirt off the table.
Russian	10	Elicited from speaker	On slomal palku.	Он сломал палку.	on s-loma-l palk-u	he PFV-break-PST.M.SG stick-ACC	He broke the stick.
Russian	11	Elicited from speaker	Palka slomalasʹ.	Палка сломалась.	palka s-lomala-s'	stick.NOM PFV-break-REFL	The stick broke.
Russian	12	Elicited from speaker	Rabočie strojat dom.	Рабочие строят дом.	rabočie strojat dom	workers build.3PL house.ACC	The workers are building the house.
Russian	13	Elicited from speaker	Dom stroitsja rabočimi.	Дом строится рабочими.	dom stroit-sja raboči-m-i	house.NOM build.PRS.3SG-REFL worker-INS-PL	The house is (being) built by the workers.
Russian	14	Elicited from speaker	On iskal olenja v lesu.	Он искал оленя в лесу.	on iska-l olenja v lesu	he search-PST.M.SG deer.SG.ACC in forest.LOC	He looked for (a) deer in the forest.
Russian	15	Elicited from speaker	On obyskal les.	Он обыскал лес.	on ob-iska-l les	he PFV-search-PST.M.SG forest.ACC	He searched the forest.
Russian	16	Elicited from speaker	Oni vstretilisʹ.	Они встретились.	oni vstreti-l-i-s'	they meet-PST-PL-REFL	They met.
Russian	17	Elicited from speaker	Bojusʹ sobaki.	Боюсь собаки.	boju-s' sobak-i	fear.1SG-REFL dog-GEN	I am afraid of the dog.
Russian	18	Elicited from speaker	Bojus' sobaku.	Боюсь собаку.	boju-s' sobak-u	fear.1SG-REFL dog-ACC	I am afraid of the dog.
Russian	19	Elicited from speaker	Otec nadel palʹto na rebënka.	Отец надел пальто на ребёнка.	otec na-del pal'to na rebënk-a	father on-dress.PST.M.SG coat.ACC on child-ACC	The father put the coat on the child.
Russian	20	Elicited from speaker	Otec odel rebënka (v pal'to).	Отец одел ребёнка (в пальто).	otec odel rebënk-a v pal'to	father dress.PST.M.SG child-ACC in coat.ACC	The father dressed the child in a coat.
Russian	21	Elicited from speaker	On moetsja.	Он моется.	on moet-sja	he wash-REFL	He washes himself.
Russian	22	Elicited from speaker	Prišli tri čeloveka.	Пришли три человека.	prišl-i tri čelovek-a	come.PST-PL three man-GEN	(These) three people came.
Russian	23	Constructed by native speaker linguist	On poët.	Он поёт.	on poët	he sing.PRS.3SG	He sings.
Russian	24	Elicited from speaker	On poët pesnju.	Он поёт песню.	on poët pesn-ju	he sing.PRS.3SG song-ACC	He is singing a song.
Russian	25	Elicited from speaker	Mal'čik (byl) pobit sosedom.	Мальчик (был) побит соседом.	mal'čik byl po-bit sosed-om	boy was PFV-beat.PF.PART neighbor-INS	The boy was beaten up by the neighbor.
Russian	26	Elicited from speaker	??Mal'čik bʹëtsja sosedom.	Мальчик бьётся соседом.	mal'čik b'ët-sja sosed-om	boy beat.3SG-REFL neighbor-INS	The boy is being beaten by the neighbor.
Russian	27	Constructed by native speaker linguist	Iz okna ona videla berëzu.	Из окна она видела берёзу.	iz okna ona vide-l-a berëz-u	out.of window she see-PST-F.SG birch-ACC	Out of the window she could see the birch tree.
Russian	28	Naturalistic written	Vy prosili u premʹera deneg?	Вы просили у премьера денег?	vy prosi-l-i u prem'er-a deneg	2PL ask-PST-PL from prime.minister-GEN money.GEN	Did you ask the prime minister for money?
Russian	29	Constructed by native speaker linguist	Ja golodnyj, kak zverʹ.	Я голодный, как зверь.	ja golodnyj kak zverʹ	1SG hungry like beast	I am hungry as a beast.
