Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Active-intransitive	Active-intransitive-causative	Causative	Causative with Active-intransitive	Causative with Passive	Causative with Reflexive	Control transitive	Indirective applicative	Indirective applicative with Passive	Lexical suffix with Middle	Middle	Middle with Causative	Middle with Indirective applicative	Middle with Relational applicative	Noncontrol transitive	Passive	Relational applicative	Relational applicative with Passive	Unsuffixed
Sliammon	1	EAT	ʔiɬtən	2, 130	V.sbj[1] 1 obl-2	Never	No data	Regularly	No data	No data	No data	Never	Never	No data	No data	No data	No data	No data	No data	Never	No data	Never	No data	Never
Sliammon	1	EAT	məkʷ-t	127, 128, 129, 138, 139	V.obj[1].sbj[2] 1	Regularly	Marginally	Never	No data	No data	No data	Never	Regularly	No data	No data	No data	No data	No data	No data	Regularly	Regularly	Never	No data	Never
Sliammon	2	HUG	x̣ʷuǰ-u-t	103	V.obj[1].sbj[2] 1	No data	No data	Never	No data	No data	No data	Never	No data	No data	No data	Never	No data	No data	No data	No data	No data	No data	No data	Never
Sliammon	3	LOOK AT	kʼʷən-t	3, 31, 240, 241, 242	V.obj[1].sbj[2] 1	Regularly	Regularly	Regularly	No data	No data	No data	Never	Never	No data	No data	Never	No data	No data	No data	Regularly	Regularly	Never	No data	Never
Sliammon	4	SEE	kʼʷən-t	3, 31, 240, 241, 242	V.obj[1].sbj[2] 1	Regularly	Regularly	Regularly	No data	No data	No data	Never	Never	No data	No data	Never	No data	No data	No data	Regularly	Regularly	Never	No data	Never
Sliammon	5	SMELL	həqʷ-t	66, 67, 68, 161, 162	V.obj[1].sbj[2] 1	Regularly	Regularly	Never	No data	No data	No data	Never	No data	No data	Regularly	Never	No data	No data	No data	Regularly	No data	No data	No data	Never
Sliammon	6	FEAR	saysaǰʼ-mi-t	5, 221	V.obj[1].sbj[2] 1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	Never	No data	Never
Sliammon	7	FRIGHTEN	x̣əyp-a-t	11, 133, 134, 135, 213, 214	V.obj[1].sbj[2] 1	Regularly	No data	Never	No data	No data	No data	Never	No data	No data	No data	Regularly	No data	No data	No data	Regularly	No data	Regularly	No data	Regularly
Sliammon	8	LIKE	ʔəy-sxʷ	25, 131, 199	V.obj[1].sbj[2] 1	No data	No data	Never	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	Regularly
Sliammon	9	KNOW	təx̣ʷ-nixʷ	24, 216	V.obj[1].sbj[2] 1	Never	No data	No data	No data	No data	No data	Regularly	No data	No data	No data	Never	No data	No data	No data	Never	No data	No data	No data	Never
