Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Xârâcùù	1	Elicited from speaker	Nèxuu chètia na nènèpéci kèwâ péci.		nèxuu chè-tia na nènè-péci kèwâ péci	girl draw-split PST page-book from book	The girl tore the page from the book.
Xârâcùù	2	Naturalistic spoken	Kwiè xwa.		kwiè xwa	rain fall	It rains.
Xârâcùù	3	Elicited from speaker	Kamûrû nä kasache na xûûchî nä ngê kwèrètii.		kamûrû nä ka=sache na xûûchî nä ngê kwèrètii	man DEM with.the.hands=cover PST child DEM with blanket	The man covered the child with a blanket.
Xârâcùù	4	Elicited from speaker	Kamûrû nä faxûda na vèr ngê dökwé.		kamûrû nä fa-xûda na vèr ngê dö-kwé	man DEM CAUS-full PST glass with true-water	The man filled the glass with fresh water.
Xârâcùù	5	Naturalistic spoken	Nâ faxûda chaa sië.		nâ fa-xûda chaa sië	1SG CAUS-full one bucket	I am filling a bucket.
Xârâcùù	6	Elicited from speaker	Kamûrû nîî na karèèsi ngê nyüükwéré.		kamûrû nîî na karèèsi ngê nyüükwéré	man load PST cart with hay	The man loaded the cart with hay.
Xârâcùù	7	Naturalistic spoken	Kamûrû curu na oosi töwâ puukwââ.		kamûrû curu na oosi töwâ puu-kwââ	man tie PST horse at trunk-tree	The man tied the horse to the tree.
Xârâcùù	8	Elicited from speaker	Kamûrû nä suxwêê kwé nèpwéé vèr.		kamûrû nä su=xwêê kwé nèpwéé vèr	man DEM put=pour water in glass	The man poured the water (into) the glass.
Xârâcùù	9	Elicited from speaker	Kamûrû xwêê na.		kamûrû xwêê na	man fall PST	The man fell down.
Xârâcùù	10	Naturalistic spoken	Nâ xwêê kwé nèpwéé chaa mîrî.		nâ xwêê kwé nèpwéé chaa mîrî	1SG pour water in one plate	I am pouring water into a plate.
Xârâcùù	11	Naturalistic spoken	Kwââ a xwêê na töwâ kwâdè.		kwââ a xwêê na töwâ kwâdè	tree DEM fall PST because wind	This tree fell because of the wind.
Xârâcùù	12	Elicited from speaker	Kamûrû suè na péci xû taapërë.		kamûrû suè na péci xû taapërë	man put PST book on table	The man put the book on the table.
Xârâcùù	13	Naturalistic spoken	Êê suè na pènèrè tö xû sêgè Nèsiwéa.		êê suè na pènè-rè tö xû sêgè Nèsiwéa	3SG.NPERS put PST fondation-3SG at on stone Nèsiwéa	The foundation stone has been laid on the rock Nèsiwéa. / One has laid the foundation stone on the rock Nèsiwéa.
Xârâcùù	14	Elicited from speaker	Xûûchî gwéré na sêgè xû xwânyûû.		xûûchî gwéré na sêgè xû xwâ-nyûû	child throw PST stone on NMLZ-pierce	The boy threw the stone into the window.
Xârâcùù	15	Elicited from speaker	Xûûchî gwéré catù na sêgè tö xwânyûû.		xûûchî gwéré catù na sêgè tö xwâ-nyûû	child throw enter PST stone at NMLZ-pierce	The child threw the stone through the window.
Xârâcùù	16	Elicited from speaker	Nèxuu pè fè na péci ti afainû.		nèxuu pè fè na péci ti a-fa-inû	girl take go PST book to NMLZ-CAUS-learn	The girl brought the book to the teacher.
Xârâcùù	17	Elicited from speaker	Nèxuu pè mê na péci ti afainû.		nèxuu pè mê na péci ti a-fa-inû	girl take come PST book to NMLZ-CAUS-learn	The girl brought the book to the teacher.
Xârâcùù	18	Naturalistic spoken	È mê kèrè chaa kéböö-nû.		è mê kèrè chaa kéböö-nû	3SG come with one basket-coconut	He brings a basket full of coconuts.
Xârâcùù	19	Elicited from speaker	Nèxuu nû na péci xù afainû.		nèxuu nû na péci xù a-fa-inû	girl send PST book BEN NMLZ-CAUS-learn	The girl sent the book to the teacher.
Xârâcùù	20	Elicited from speaker	Nèxuu nû na péci ti mwâinû.		nèxuu nû na péci ti mwâ-inû	girl send PST book to house-learn	The girl sent the book to school.
Xârâcùù	21	Elicited from speaker	Nèxuu xù na péci xù afainû.		nèxuu xù na péci xù a-fa-inû	girl give PST book BEN NMLZ-CAUS-learn	The girl gave the book to the teacher.
Xârâcùù	22	Elicited from speaker	Nèxuu xù xù na afainû péci.		nèxuu xù xù na a-fa-inû péci	girl give BEN PST NMLZ-CAUS-learn book	The girl gave the book to the teacher.
Xârâcùù	23	Elicited from speaker	Nèxuu xù na ngê chaa péci xù afainû.		nèxuu xù na ngê chaa péci xù a-fa-inû	girl give PST INS one book BEN NMLZ-CAUS-learn	The girl gave the book to the teacher (to show off).
Xârâcùù	24	Elicited from speaker	Nèxuu xacië na péci xù afainû.		nèxuu xacië na péci xù a-fa-inû	girl show PST book BEN NMLZ-CAUS-learn	The girl showed the book to the teacher.
Xârâcùù	25	Elicited from speaker	Nèxuu pêdè na péci taa afainû.		nèxuu pêdè na péci taa a-fa-inû	girl steal PST book NBEN NMLZ-CAUS-learn	The girl stole the book from the teacher.
Xârâcùù	26	Elicited from speaker	Nèxuu sûûârâ na péci taa afainû.		nèxuu sûûârâ na péci taa a-fa-inû	girl hide PST book NBEN NMLZ-CAUS-learn	The girl hid the book from the teacher.
Xârâcùù	27	Naturalistic spoken	Ri wâ sûûârâ kä-mârâdii nä.		ri wâ sûûârâ kä-mârâdii nä	3PL PFV hide skin-snake DEM	They are hiding the skin of the snake.
Xârâcùù	28	Elicited from speaker	Nèxuu jee na chirèdöu kè xû taapërë.		nèxuu jee na chirè=döu kè xû taapërë	girl wipe PST remains=thing from on table	The girl wiped the dirt from the table.
Xârâcùù	29	Naturalistic spoken	Nâ nä jee rè kûû-nâ.		nâ nä jee rè kûû-nâ	1SG IPFV wipe IPFV nose-1SG	I am wiping my nose.
Xârâcùù	30	Elicited from speaker	Xötö söpuru na farawa (ngê nea).		xötö sö-puru na farawa ngê nea	boy beat-two.parts PST bread INS knife	The boy cut the bread (with the knife).
Xârâcùù	31	Elicited from speaker	Xötö sakai na mârâdii ngê köökwââ.		xötö sakai na mârâdii ngê köö-kwââ	boy touch.sofly PST snake INS extremity-tree	The boy touched the snake with the stick.
Xârâcùù	32	Elicited from speaker	Xötö fîda na mârâdii ngê köökwââ.		xötö fîda na mârâdii ngê köö-kwââ	boy hit.with.instrument PST snake INS extremity-tree	The boy hit the snake with the stick.
Xârâcùù	33	Elicited from speaker	Xötö fîgai na mârâdii ngê köökwââ.		xötö fî-kai na mârâdii ngê köö-kwââ	boy hit.with.instrument-crumble PST snake INS extremity-tree	The boy beat the snake with the stick.
Xârâcùù	34	Elicited from speaker	Xötö söömè na mârâdii (ngê köökwââ).		xötö söömè na mârâdii ngê köö-kwââ	boy kill PST snake INS extremity-tree	The boy killed the snake (with the stick).
Xârâcùù	35	Elicited from speaker	Xötö jikörö na xwânyûû ngê sêgè.		xötö ji-körö na xwâ-nyûû ngê sêgè	boy throw-break.into.pieces PST NMLZ-pierce INS stone	The boy broke the window with the stone.
Xârâcùù	36	Elicited from speaker	Kamûrû xwi na mwâ ngê sêgè.		kamûrû xwi na mwâ ngê sêgè	man build PST house INS stone	The man built the house with stones.
Xârâcùù	37	Naturalistic spoken	Jööpè nä xwi?		jööpè nä xwi	what IPFV exist	What's going on?
Xârâcùù	38	Naturalistic spoken	Xè mîî êrêcaa bwa purè-ri xwi.		xè mîî êrêcaa bwa purè-ri xwi	colour ART.PL living.creature DEM shell-3PL exist	Colour the living creatures which have a shell.
Xârâcùù	39	Naturalistic spoken	Pa pwâgara xwi farawa va nèkè-ri.		pa pwâgara xwi farawa va nèkè-ri	COLL European make bread for GEN.CLF(starchy.food)-3PL	Europeans make bread for their starchy food.
Xârâcùù	40	Elicited from speaker	Kamûrû sii ché na döu xù nèxuu.		kamûrû sii ché na döu xù nèxuu	man NEG say PST thing BEN girl	The man said nothing to the girl.
Xârâcùù	41	Elicited from speaker	Kamûrû xangââ na xù nèxuu.		kamûrû xa=ngââ na xù nèxuu	man speak=shout PST BEN girl	The man shouted at the girl (to say hello to her).
Xârâcùù	42	Elicited from speaker	Kamûrû xangââ na wâ nèxuu.		kamûrû xa=ngââ na wâ nèxuu	man speak=shout PST at girl	The man shouted at the girl (to yield at her).
Xârâcùù	43	Elicited from speaker	Kamûrû xangââ ngê na chaa ùnââ taa nèxuu.		kamûrû xa=ngââ ngê na chaa ù-nââ taa nèxuu	man speak=shout INS PST one NMLZ-ask NBEN girl	The man shouted to ask something from the girl.
Xârâcùù	44		Kamûrû xangââ ngê na xwâxatii xù nèxuu.		kamûrû xa=ngââ ngê na xwâ-xatii xù nèxuu	man speak=shout INS PST NMLZ-reprimand BEN girl	The man shouted reprimands at the girl. / The man shouted at the girl with a reprimand.
Xârâcùù	45	Elicited from speaker	Kamûrû faxwata ngê chaa tèpë xù nèxuu.		kamûrû fa-xwata ngê chaa tèpe xù nèxuu	man CAUS-listen INS one story BEN girl	The man tells a story to the girl.
Xârâcùù	46	Naturalistic spoken	Ri wâ sömârâ ngêrê chaa tèpe.		ri wâ sömârâ ngê=rê chaa tèpe	3PL PFV tell.story INS=PFV one story	They are going to tell a story.
Xârâcùù	47	Elicited from speaker	Xötö nââ na mwânè taa kamûrû.		xötö nââ na mwânè taa kamûrû	boy ask.for PST money NBEN man	The boy asked the man for money. / The boy asked money from the man.
Xârâcùù	48	Elicited from speaker	Xötö nä nêgé rè chaa péci xù chaa kamûrû.		xötö nä nêgé rè chaa péci xù chaa kamûrû	boy IPFV ask.for IPFV one book BEN one man	The boy asks someone for a book.
Xârâcùù	49	Naturalistic spoken	Kamûrû néxä na xötö nä mè niè mê è wâ fè.		kamûrû néxä na xötö nä mè niè mê è wâ fè	man know PST boy DEM COMP 3SG.INDEP.PRON and 3SG PFV go	The man knew the boy with whom he was going to go.
Xârâcùù	50	Elicited from speaker	Kamûrû téé na xötö.		kamûrû téé na xötö	man see PST boy	The man saw the boy.
