Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Causative	Deagentive	Direct object shift	Extraversive	Fientive	Incorporative	Indirect participation	Introversive	Passive	Reciprocal	Reflexive	Usative
Yucatec Maya	1	EAT	haan	1, 104, 127	sbj[1].V 1	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	1	EAT	haant	1, 103, 104, 187, 188, 297	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Marginally	Marginally	Never
Yucatec Maya	2	HUG	méek'	2, 105, 189, 298	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Marginally	Never	Never	Regularly	Regularly	Marginally	Never
Yucatec Maya	3	LOOK AT	pakat	3, 106, 107, 299, 300, 301, 336	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Regularly	Regularly	Never
Yucatec Maya	4	SEE	il	4, 37, 108, 145, 189, 190, 228, 298	sbj[1].V.obj[2] 2 1	Marginally	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Regularly	Never
Yucatec Maya	5	SMELL	u'y	5, 92, 109, 110, 191, 192, 193, 261, 317, 318	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Marginally	Never	Marginally	Regularly	Regularly	Regularly	Never
Yucatec Maya	5	SMELL	ch'a'bok	113, 296	sbj[1].V 1	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	5	SMELL	ch'a'bokt	111, 112, 296	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Marginally	Never
Yucatec Maya	6	FEAR	sahak	6, 7, 8	sbj[1].V ti'+2 1	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Marginally	Never
Yucatec Maya	6	FEAR	ch'a' sahakil	114, 124, 194, 195, 337	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Never	No data	Never	Regularly	Regularly	Regularly	Never
Yucatec Maya	7	FRIGHTEN	sahbes	7, 302	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never
Yucatec Maya	7	FRIGHTEN	sahakkuns	8, 196	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Marginally	Never
