Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Yucatec Maya	1		Le xibpale' tu haantah le abalo'.		le xibpal-e' t-u haan-t-ah le abal-o'	DEM boy-D3 PRFV-SBJ.3 eat-TRR-CMPL DEM plum-D2	The boy ate the plum.
Yucatec Maya	2		Tu méek'ah u chaan xibpal le maamaho'.		t-u méek'-ah u chaan xibpal le maamah-o'	PRFV-SBJ.3 hug-CMPL POSS.3 little boy DEM mother-D2	The mother hugged her little boy.
Yucatec Maya	3		Le xibpalo' tu paktah le xch'úupalo'.		le xibpal-o' t-u pakat-ah le xch'úupal-o'	DEM boy-D2 PRFV-SBJ.3 look-CMPL DEM girl-D2	The boy looked at the girl.
Yucatec Maya	4		Le wíiniko' tu yilah le báalamo'.		le wíinik-o' t-u y-il-ah le báalam-o'	DEM man-D2 PRFV-SBJ.3 0-see-CMPL DEM jaguar-D2	The man saw the jaguar.
Yucatec Maya	5		Le kéeho' tu yu'bah u book le xibpalo'.		le kéeh-o' t-u y-u'b-ah u book le xibpal-o'	DEM deer-D2 PRFV-SBJ.3 0-feel-CMPL POSS.3 smell DEM boy-D2	The deer smelled the boy.
Yucatec Maya	6		Le wíiniko' sahak ti' le báalamo'.		le wíinik-o' sahak ti' le báalam-o'	DEM man-D2 afraid LOC DEM jaguar-D2	The man feared/fears the jaguar.
Yucatec Maya	7		Le báalamo' tu sahbesah le wíiniko'.		le báalam-o' t-u sah-bes-ah le wíinik-o'	DEM jaguar-D2 PRFV-SBJ.3 fear-CAUS-CMPL DEM man-D2	The jaguar frightened the man.
Yucatec Maya	8		Le báalamo' tu sahakkunsah le wíiniko'.		le báalam-o' t-u sahak-kuns-ah le wíinik-o'	DEM jaguar-D2 PRFV-SBJ.3 afraid-FACT-CMPL DEM man-D2	The jaguar frightened the man.
Yucatec Maya	9		Le xibpalo' uts tu yich u tumben baaxal.		le xibpal-o' uts t-u y-ich u tumben baaxal	DEM boy-D2 good LOC-POSS.3 0-eye POSS.3 new toy	The boy likes his new toy.
Yucatec Maya	10		Le xibpalo' u k'ahóol le xch'úupalo'.		le xibpal-o' u k'ahóol le xch'úupal-o'	DEM boy-D2 SBJ.3 know DEM girl-D2	The boy knows/knew the girl.
Yucatec Maya	11		Le xch'úupalo' tu tukultah u chiich holheak.		le xch'úupal-o' t-u tukul-t-ah u chiich ho'lheak	DEM girl-D2 PRFV-SBJ.3 think-TRR-CMPL POSS.3 grandmother yesterday	The girl thought about her grandmother yesterday.
Yucatec Maya	12		Le wíiniko' táan u kaxtik le xch'úupo'bo'.		le wíinik-o' táan u kax-t-ik le xch'úup-o'b-o'	DEM man-D2 PROG SBJ.3 search-TRR-INCMPL DEM woman-PL-D2	The man is searching for the women.
Yucatec Maya	13		Le xch'úupo' tu yisintah le chaampalo'.		le xch'úup-o' t-u y-isíin-t-ah le chaampal-o'	DEM woman-D2 PRFV-SBJ.3 0-bathe-TRR-CMPL DEM baby-D2	The woman washed/bathed the baby.
Yucatec Maya	14		Le wíiniko' tu ts'ikah u me'x.		le wíinik-o' t-u ts'ik-ah u me'x	DEM man-D2 PRFV-SBJ.3 shave-CMPL POSS.3 beard	The man shaved his beard.
Yucatec Maya	15		Tin wáantah le xibpalo'bo'.		t-in w-áant-ah le xibpal-o'b-o'	PRFV-SBJ.1SG 0-help-CMPL DEM boy-PL-D2	I helped the boys.
Yucatec Maya	16		Le xibpalo'bo' ku ch'a'pachtiko'b le xch'úupalo'ob.		le xibpal-o'b-o' k-u ch'a'-pach-t-ik-o'b le xch'úupal-o'b-o'	DEM boy-PL-D2 IMPF-SBJ.3 take-back-TRR-INCMPL-PL DEM girl-PL-D2	The boys follow the girls.
Yucatec Maya	17		Le wíiniko'bo' tu naktáantaho'b le xibpalo'bo'.		le wíinik-o'b-o' t-u naktáan-t-ah-o'b le xibpal-o'b-o'	DEM man-PL-D2 PRFV-SBJ.3 meet-TRR-CMPL-PL DEM boy-PL-D2	The men met the boys.
Yucatec Maya	18		Le wíiniko'bo' tu nuptáantaho'b le xibpalo'bo'.		le wíinik-o'b-o' t-u nuptáan-t-ah-o'b le xibpal-o'b-o'	DEM man-PL-D2 PRFV-SBJ.3 meet-TRR-CMPL-PL DEM boy-PL-D2	The men met the boys.
Yucatec Maya	19		Le xch'úupalo' tsikbalnah yéetel le xibpalo' yo'lal u yaalak' peek'.		le xch'úupal-o' tsikbal-nah yéetel le xibpal-o' y-o'lal u y-aalak' peek'	DEM girl-D2 talk-CMPL with DEM boy-D2 0-reason POSS.3 0-CL.domestic dog	The girl talked to the boy about her dog.
Yucatec Maya	20		Le xch'úupalo' h t'aanah yéetel le xibpal yóok'ol u yaalak' peek'o'.		le xch'úupal-o' h t'aan-nah yéetel le xibpal y-óok'ol u y-aalak' peek'-o'	DEM girl-D2 PRFV speak-CMPL with DEM boy 0-over POSS.3 0-CL.domestic dog-D2	The girl talked to the boy about her dog.
Yucatec Maya	21		Le xibpalo' tu k'áatah taak'in ti' u taataho'b.		le xibpal-o' t-u k'áat-ah taak'in ti' u taatah-o'b	DEM boy-D2 PRFV-SBJ.3 ask-CMPL money LOC POSS.3 father-PL	The boy asked his parents for money.
Yucatec Maya	22		Le xch'úupo' tu yawtah le paalalo'bo'.		le xch'úup-o' t-u y-awat-ah le paal-al-o'b-o'	DEM woman-D2 PRFV-SBJ.3 0-shout-CMPL DEM child-COLL-PL-D2	The woman shouted at the children.
Yucatec Maya	23		Le xch'úupalo' tu tsikbatah hump'éel che'hbil tsikbal ti' le xibpalo'.		le xch'úupal-o' t-u tsikbal-t-ah hun-p'éel che'h-bil tsikbal ti' le xibpal-o'	DEM girl-D2 PRFV-SBJ.3 talk-TRR-CMPL one-CL.INAN laugh-GER story LOC DEM boy-D2	The girl told the boy a funny story.
Yucatec Maya	24		Tu ya'laho'b teen ma'(il).		t-u y-a'l-ah-o'b teen ma'-il	PRFV-SBJ.3 0-say-CMPL-PL me NEG-ABSTR	They said 'no' to me.
Yucatec Maya	25		Le wíiniko'bo' tu beetaho'b hump'éel xa'nil nah.		le wíinik-o'b-o' t-u beet-ah-o'b hun-p'éel xa'n-il nah	DEM man-PL-D2 PRFV-SBJ.3 do-CMPL-PL one-CL.INAN palm-REL house	The men built a house out of palm leaves.
Yucatec Maya	26		Le xibpalo' tu pa'ah le kalomk'iin yéetel tunicho'.		le xibpal-o' t-u pa'-ah kalomk'iin yéetel tuunich-o'	DEM boy-D2 PRFV-SBJ.3 break-CMPL window with stone-D2	The boy broke the window with a stone.
Yucatec Maya	27		Le wíiniko' tu kíinsah u k'uxóolal yéetel báat.		le wíinik-o' t-u kíim-s-ah u k'uxóolal yéetel báat	DEM man-D2 PRFV-SBJ.3 die-CAUS-CMPL POSS.3 enemy with axe	The man killed his enemy with an axe.
