Language_name	Meaning_number	Meaning_label	Verb_form	Alternation_name	Alternation_occurs	Coding_frame_schema
Yucatec Maya	1	EAT	haan	Causative	Never	
Yucatec Maya	1	EAT	haan	Deagentive	Never	
Yucatec Maya	1	EAT	haan	Direct object shift	Never	
Yucatec Maya	1	EAT	haan	Extraversive	Regularly	sbj[1].V'extra.obj[3] 3 1
Yucatec Maya	1	EAT	haan	Fientive	Never	
Yucatec Maya	1	EAT	haan	Incorporative	Never	
Yucatec Maya	1	EAT	haan	Indirect participation	Never	
Yucatec Maya	1	EAT	haan	Introversive	Never	
Yucatec Maya	1	EAT	haan	Passive	Never	
Yucatec Maya	1	EAT	haan	Reciprocal	Never	
Yucatec Maya	1	EAT	haan	Reflexive	Never	
Yucatec Maya	1	EAT	haan	Usative	Never	
Yucatec Maya	1	EAT	haant	Causative	Never	
Yucatec Maya	1	EAT	haant	Deagentive	Never	
Yucatec Maya	1	EAT	haant	Direct object shift	Never	
Yucatec Maya	1	EAT	haant	Extraversive	Never	
Yucatec Maya	1	EAT	haant	Fientive	Never	
Yucatec Maya	1	EAT	haant	Incorporative	Never	
Yucatec Maya	1	EAT	haant	Indirect participation	Never	
Yucatec Maya	1	EAT	haant	Introversive	Never	
Yucatec Maya	1	EAT	haant	Passive	Regularly	sbj[2].V'pass 2 (tumen+1)
Yucatec Maya	1	EAT	haant	Reciprocal	Marginally	
Yucatec Maya	1	EAT	haant	Reflexive	Marginally	
Yucatec Maya	1	EAT	haant	Usative	Never	
Yucatec Maya	2	HUG	méek'	Causative	Never	
Yucatec Maya	2	HUG	méek'	Deagentive	Never	
Yucatec Maya	2	HUG	méek'	Direct object shift	Never	
Yucatec Maya	2	HUG	méek'	Extraversive	Never	
Yucatec Maya	2	HUG	méek'	Fientive	Never	
Yucatec Maya	2	HUG	méek'	Incorporative	Marginally	
Yucatec Maya	2	HUG	méek'	Indirect participation	Never	
Yucatec Maya	2	HUG	méek'	Introversive	Never	
Yucatec Maya	2	HUG	méek'	Passive	Regularly	sbj[2].V'pass 2 (tumen+1)
Yucatec Maya	2	HUG	méek'	Reciprocal	Regularly	sbj[1/2].V'
Yucatec Maya	2	HUG	méek'	Reflexive	Marginally	
Yucatec Maya	2	HUG	méek'	Usative	Never	
Yucatec Maya	3	LOOK AT	pakat	Causative	Never	
Yucatec Maya	3	LOOK AT	pakat	Deagentive	Never	
Yucatec Maya	3	LOOK AT	pakat	Direct object shift	Never	
Yucatec Maya	3	LOOK AT	pakat	Extraversive	Never	
Yucatec Maya	3	LOOK AT	pakat	Fientive	Never	
Yucatec Maya	3	LOOK AT	pakat	Incorporative	Never	
Yucatec Maya	3	LOOK AT	pakat	Indirect participation	Never	
Yucatec Maya	3	LOOK AT	pakat	Introversive	Regularly	sbj[1].V'intro 1
Yucatec Maya	3	LOOK AT	pakat	Passive	Regularly	sbj[2].V'pass 2 (tumen+1)
Yucatec Maya	3	LOOK AT	pakat	Reciprocal	Regularly	sbj[1/2].V'
Yucatec Maya	3	LOOK AT	pakat	Reflexive	Regularly	sbj[1/2].V'
Yucatec Maya	3	LOOK AT	pakat	Usative	Never	
Yucatec Maya	4	SEE	il	Causative	Marginally	
Yucatec Maya	4	SEE	il	Deagentive	Never	
Yucatec Maya	4	SEE	il	Direct object shift	Never	
Yucatec Maya	4	SEE	il	Extraversive	Never	
Yucatec Maya	4	SEE	il	Fientive	Never	
Yucatec Maya	4	SEE	il	Incorporative	Never	
Yucatec Maya	4	SEE	il	Indirect participation	Never	
Yucatec Maya	4	SEE	il	Introversive	Never	
Yucatec Maya	4	SEE	il	Passive	Regularly	sbj[2].V'pass 2 (tumen+1)
