Language_name	Meaning_number	Meaning_label	Verb_form	Alternation_name	Alternation_occurs	Coding_frame_schema
Central Alaskan Yupik	1	EAT	nere-	advs 1		
Central Alaskan Yupik	1	EAT	nere-	advs 1 detransitivized		
Central Alaskan Yupik	1	EAT	nere-	advs 2	Marginally	
Central Alaskan Yupik	1	EAT	nere-	advs 2 detransitivized		
Central Alaskan Yupik	1	EAT	nere-	antip	Regularly	
Central Alaskan Yupik	1	EAT	nere-	antip [coded]		
Central Alaskan Yupik	1	EAT	nere-	antip/cmpl(caus)/appl	Regularly	
Central Alaskan Yupik	1	EAT	nere-	appl 1		
Central Alaskan Yupik	1	EAT	nere-	appl 2	Regularly	
Central Alaskan Yupik	1	EAT	nere-	appl/cmpl(caus)	Regularly	
Central Alaskan Yupik	1	EAT	nere-	basic intr		
Central Alaskan Yupik	1	EAT	nere-	basic tr		
Central Alaskan Yupik	1	EAT	nere-	cmpl(caus) 1	Marginally	
Central Alaskan Yupik	1	EAT	nere-	cmpl(caus) 2a	Regularly	
Central Alaskan Yupik	1	EAT	nere-	cmpl(caus)/antip	Regularly	
Central Alaskan Yupik	1	EAT	nere-	cmpl(caus)/pass	Marginally	
Central Alaskan Yupik	1	EAT	nere-	compl(caus) 2b		
Central Alaskan Yupik	1	EAT	nere-	dbl.cmpl(caus+spec)	Marginally	
Central Alaskan Yupik	1	EAT	nere-	ditr.indir		
Central Alaskan Yupik	1	EAT	nere-	ditr.indir [coded]		
Central Alaskan Yupik	1	EAT	nere-	ditr.indir/antip		
Central Alaskan Yupik	1	EAT	nere-	ditr.indir/pas		
Central Alaskan Yupik	1	EAT	nere-	ditr.secun		
Central Alaskan Yupik	1	EAT	nere-	ditr.secun [coded]		
Central Alaskan Yupik	1	EAT	nere-	ditr.secun/antip		
Central Alaskan Yupik	1	EAT	nere-	ditr.secun/pas		
Central Alaskan Yupik	1	EAT	nere-	imprs		
Central Alaskan Yupik	1	EAT	nere-	imprs [coded]	Marginally	
Central Alaskan Yupik	1	EAT	nere-	P > R replacement		
Central Alaskan Yupik	1	EAT	nere-	P > T replacement		
Central Alaskan Yupik	1	EAT	nere-	P(means) addition [coded]		
Central Alaskan Yupik	1	EAT	nere-	P(place) addition		
Central Alaskan Yupik	1	EAT	nere-	P(place) addition [coded]		
Central Alaskan Yupik	1	EAT	nere-	pass	Marginally	
Central Alaskan Yupik	1	EAT	nere-	pass(pseudo) 1 [coded]		
Central Alaskan Yupik	1	EAT	nere-	pass(pseudo) 2 [coded]		
Central Alaskan Yupik	1	EAT	nere-	refl		
Central Alaskan Yupik	1	EAT	nere-	relational transitive		
Central Alaskan Yupik	1	EAT	nere-	smpl caus		
Central Alaskan Yupik	2	HUG	qep'ag-	advs 1		
Central Alaskan Yupik	2	HUG	qep'ag-	advs 1 detransitivized		
Central Alaskan Yupik	2	HUG	qep'ag-	advs 2		
Central Alaskan Yupik	2	HUG	qep'ag-	advs 2 detransitivized		
Central Alaskan Yupik	2	HUG	qep'ag-	antip		
Central Alaskan Yupik	2	HUG	qep'ag-	antip [coded]		
Central Alaskan Yupik	2	HUG	qep'ag-	antip/cmpl(caus)/appl		
Central Alaskan Yupik	2	HUG	qep'ag-	appl 1		
Central Alaskan Yupik	2	HUG	qep'ag-	appl 2		
Central Alaskan Yupik	2	HUG	qep'ag-	appl/cmpl(caus)		
Central Alaskan Yupik	2	HUG	qep'ag-	basic intr		
Central Alaskan Yupik	2	HUG	qep'ag-	basic tr		
Central Alaskan Yupik	2	HUG	qep'ag-	cmpl(caus) 1		
Central Alaskan Yupik	2	HUG	qep'ag-	cmpl(caus) 2a		
Central Alaskan Yupik	2	HUG	qep'ag-	cmpl(caus)/antip		
Central Alaskan Yupik	2	HUG	qep'ag-	cmpl(caus)/pass		
Central Alaskan Yupik	2	HUG	qep'ag-	compl(caus) 2b		
Central Alaskan Yupik	2	HUG	qep'ag-	dbl.cmpl(caus+spec)		
Central Alaskan Yupik	2	HUG	qep'ag-	ditr.indir		
Central Alaskan Yupik	2	HUG	qep'ag-	ditr.indir [coded]		
Central Alaskan Yupik	2	HUG	qep'ag-	ditr.indir/antip		
Central Alaskan Yupik	2	HUG	qep'ag-	ditr.indir/pas		
Central Alaskan Yupik	2	HUG	qep'ag-	ditr.secun		
Central Alaskan Yupik	2	HUG	qep'ag-	ditr.secun [coded]		
Central Alaskan Yupik	2	HUG	qep'ag-	ditr.secun/antip		
Central Alaskan Yupik	2	HUG	qep'ag-	ditr.secun/pas		
Central Alaskan Yupik	2	HUG	qep'ag-	imprs		
Central Alaskan Yupik	2	HUG	qep'ag-	imprs [coded]		
Central Alaskan Yupik	2	HUG	qep'ag-	P > R replacement		
Central Alaskan Yupik	2	HUG	qep'ag-	P > T replacement		
Central Alaskan Yupik	2	HUG	qep'ag-	P(means) addition [coded]		
Central Alaskan Yupik	2	HUG	qep'ag-	P(place) addition		
Central Alaskan Yupik	2	HUG	qep'ag-	P(place) addition [coded]		
Central Alaskan Yupik	2	HUG	qep'ag-	pass		
Central Alaskan Yupik	2	HUG	qep'ag-	pass(pseudo) 1 [coded]		
Central Alaskan Yupik	2	HUG	qep'ag-	pass(pseudo) 2 [coded]		
