Language_name	Meaning_number	Meaning_label	Verb_form	Alternation_name	Alternation_occurs	Coding_frame_schema
Zenzontepec Chatino	1	EAT	y-aku	Active/inactive alternation	Never	
Zenzontepec Chatino	1	EAT	y-aku	Ambitransitive alternation	Never	
Zenzontepec Chatino	1	EAT	y-aku	Applicative	Never	
Zenzontepec Chatino	1	EAT	y-aku	Causative of active verb	Regularly	eV' 3 jiʔį̄+2 jiʔį̄+1
Zenzontepec Chatino	1	EAT	y-aku	Equipollent causative/intransitive alternation	Never	
Zenzontepec Chatino	1	EAT	y-aku	Intransitive alternation	Regularly	yV' 2
Zenzontepec Chatino	1	EAT	y-aku	Object omission alternation	Regularly	V' 1
Zenzontepec Chatino	1	EAT	y-aku	Object/instrument incorporation	Never	
Zenzontepec Chatino	1	EAT	y-aku	u-Causative alternation	Never	
Zenzontepec Chatino	2	HUG	nk-y-uʔu-xiiʔ	Active/inactive alternation	Never	
Zenzontepec Chatino	2	HUG	nk-y-uʔu-xiiʔ	Ambitransitive alternation	Never	
Zenzontepec Chatino	2	HUG	nk-y-uʔu-xiiʔ	Applicative	Never	
Zenzontepec Chatino	2	HUG	nk-y-uʔu-xiiʔ	Causative of active verb	Never	
Zenzontepec Chatino	2	HUG	nk-y-uʔu-xiiʔ	Equipollent causative/intransitive alternation	Never	
Zenzontepec Chatino	2	HUG	nk-y-uʔu-xiiʔ	Intransitive alternation	Never	
Zenzontepec Chatino	2	HUG	nk-y-uʔu-xiiʔ	Object omission alternation	Never	
Zenzontepec Chatino	2	HUG	nk-y-uʔu-xiiʔ	Object/instrument incorporation	Never	
Zenzontepec Chatino	2	HUG	nk-y-uʔu-xiiʔ	u-Causative alternation	Never	
Zenzontepec Chatino	2	HUG	nkā-tūkwá-xiiʔ	Active/inactive alternation	Never	
Zenzontepec Chatino	2	HUG	nkā-tūkwá-xiiʔ	Ambitransitive alternation	Never	
Zenzontepec Chatino	2	HUG	nkā-tūkwá-xiiʔ	Applicative	Never	
Zenzontepec Chatino	2	HUG	nkā-tūkwá-xiiʔ	Causative of active verb	Never	
Zenzontepec Chatino	2	HUG	nkā-tūkwá-xiiʔ	Equipollent causative/intransitive alternation	Never	
Zenzontepec Chatino	2	HUG	nkā-tūkwá-xiiʔ	Intransitive alternation	Never	
Zenzontepec Chatino	2	HUG	nkā-tūkwá-xiiʔ	Object omission alternation	Never	
Zenzontepec Chatino	2	HUG	nkā-tūkwá-xiiʔ	Object/instrument incorporation	Never	
Zenzontepec Chatino	2	HUG	nkā-tūkwá-xiiʔ	u-Causative alternation	Never	
Zenzontepec Chatino	3	LOOK AT	nkā-naʔa	Active/inactive alternation	Never	
Zenzontepec Chatino	3	LOOK AT	nkā-naʔa	Ambitransitive alternation	Regularly	V' 2
Zenzontepec Chatino	3	LOOK AT	nkā-naʔa	Applicative	Never	
Zenzontepec Chatino	3	LOOK AT	nkā-naʔa	Causative of active verb	Never	
Zenzontepec Chatino	3	LOOK AT	nkā-naʔa	Equipollent causative/intransitive alternation	Never	
Zenzontepec Chatino	3	LOOK AT	nkā-naʔa	Intransitive alternation	Never	
Zenzontepec Chatino	3	LOOK AT	nkā-naʔa	Object omission alternation	Regularly	V' 1
Zenzontepec Chatino	3	LOOK AT	nkā-naʔa	Object/instrument incorporation	Never	
Zenzontepec Chatino	3	LOOK AT	nkā-naʔa	u-Causative alternation	Never	
Zenzontepec Chatino	4	SEE	nkā-naʔa	Active/inactive alternation	Never	
Zenzontepec Chatino	4	SEE	nkā-naʔa	Ambitransitive alternation	Regularly	V' 2
Zenzontepec Chatino	4	SEE	nkā-naʔa	Applicative	Never	
Zenzontepec Chatino	4	SEE	nkā-naʔa	Causative of active verb	Never	
Zenzontepec Chatino	4	SEE	nkā-naʔa	Equipollent causative/intransitive alternation	Never	
Zenzontepec Chatino	4	SEE	nkā-naʔa	Intransitive alternation	Never	
Zenzontepec Chatino	4	SEE	nkā-naʔa	Object omission alternation	Regularly	V' 1
Zenzontepec Chatino	4	SEE	nkā-naʔa	Object/instrument incorporation	Never	
Zenzontepec Chatino	4	SEE	nkā-naʔa	u-Causative alternation	Never	
Zenzontepec Chatino	5	SMELL	y-ukwęʔ	Active/inactive alternation	Never	
Zenzontepec Chatino	5	SMELL	y-ukwęʔ	Ambitransitive alternation	Never	
Zenzontepec Chatino	5	SMELL	y-ukwęʔ	Applicative	Never	
Zenzontepec Chatino	5	SMELL	y-ukwęʔ	Causative of active verb	Regularly	eV' 3 jiʔį̄+2 jiʔį̄+1
Zenzontepec Chatino	5	SMELL	y-ukwęʔ	Equipollent causative/intransitive alternation	Never	
Zenzontepec Chatino	5	SMELL	y-ukwęʔ	Intransitive alternation	Never	
Zenzontepec Chatino	5	SMELL	y-ukwęʔ	Object omission alternation	Never	
Zenzontepec Chatino	5	SMELL	y-ukwęʔ	Object/instrument incorporation	Never	
Zenzontepec Chatino	5	SMELL	y-ukwęʔ	u-Causative alternation	Never	
Zenzontepec Chatino	6	FEAR	y-utzę	Active/inactive alternation	Never	
Zenzontepec Chatino	6	FEAR	y-utzę	Ambitransitive alternation	Never	
Zenzontepec Chatino	6	FEAR	y-utzę	Applicative	Never	
Zenzontepec Chatino	6	FEAR	y-utzę	Causative of active verb	Regularly	eV' 3 jiʔį̄+2 jiʔį̄+1
Zenzontepec Chatino	6	FEAR	y-utzę	Equipollent causative/intransitive alternation	Never	
Zenzontepec Chatino	6	FEAR	y-utzę	Intransitive alternation	Never	
Zenzontepec Chatino	6	FEAR	y-utzę	Object omission alternation	Regularly	V' 1
Zenzontepec Chatino	6	FEAR	y-utzę	Object/instrument incorporation	Never	
Zenzontepec Chatino	6	FEAR	y-utzę	u-Causative alternation	Never	
Zenzontepec Chatino	7	FRIGHTEN	nkw-ē-k-utzę	Active/inactive alternation	Never	
Zenzontepec Chatino	7	FRIGHTEN	nkw-ē-k-utzę	Ambitransitive alternation	Never	
Zenzontepec Chatino	7	FRIGHTEN	nkw-ē-k-utzę	Applicative	Never	
Zenzontepec Chatino	7	FRIGHTEN	nkw-ē-k-utzę	Causative of active verb	Never	
Zenzontepec Chatino	7	FRIGHTEN	nkw-ē-k-utzę	Equipollent causative/intransitive alternation	Never	
Zenzontepec Chatino	7	FRIGHTEN	nkw-ē-k-utzę	Intransitive alternation	Never	
Zenzontepec Chatino	7	FRIGHTEN	nkw-ē-k-utzę	Object omission alternation	Never	
Zenzontepec Chatino	7	FRIGHTEN	nkw-ē-k-utzę	Object/instrument incorporation	Never	
Zenzontepec Chatino	7	FRIGHTEN	nkw-ē-k-utzę	u-Causative alternation	Never	
Zenzontepec Chatino	8	LIKE	y-a-toǫ-tīʔ	Active/inactive alternation	Never	
Zenzontepec Chatino	8	LIKE	y-a-toǫ-tīʔ	Ambitransitive alternation	Never	
Zenzontepec Chatino	8	LIKE	y-a-toǫ-tīʔ	Applicative	Never	
Zenzontepec Chatino	8	LIKE	y-a-toǫ-tīʔ	Causative of active verb	Never	
Zenzontepec Chatino	8	LIKE	y-a-toǫ-tīʔ	Equipollent causative/intransitive alternation	Never	
Zenzontepec Chatino	8	LIKE	y-a-toǫ-tīʔ	Intransitive alternation	Never	
Zenzontepec Chatino	8	LIKE	y-a-toǫ-tīʔ	Object omission alternation	Never	
Zenzontepec Chatino	8	LIKE	y-a-toǫ-tīʔ	Object/instrument incorporation	Never	
Zenzontepec Chatino	8	LIKE	y-a-toǫ-tīʔ	u-Causative alternation	Never	
Zenzontepec Chatino	9	KNOW	n-tzuʔu-ntoo	Active/inactive alternation	Never	
Zenzontepec Chatino	9	KNOW	n-tzuʔu-ntoo	Ambitransitive alternation	Never	
Zenzontepec Chatino	9	KNOW	n-tzuʔu-ntoo	Applicative	Never	
Zenzontepec Chatino	9	KNOW	n-tzuʔu-ntoo	Causative of active verb	Never	
