Language_name	Meaning_number	Meaning_label	Verb_form	Basic_or_derived_coding_frame	Coding_frame_schema	Index_number	Microrole_name	Coding_set_name	Argument_type
Zenzontepec Chatino	1	EAT	y-aku	Basic	V 1 jiʔį̄+2	1	eater	Ø	A
Zenzontepec Chatino	1	EAT	y-aku	Basic	V 1 jiʔį̄+2	2	eaten food	jiʔį̄+NP	P
Zenzontepec Chatino	1	EAT	y-aku	Derived	eV' 3 jiʔį̄+2 jiʔį̄+1	1	eater	jiʔį̄+NP	
Zenzontepec Chatino	1	EAT	y-aku	Derived	eV' 3 jiʔį̄+2 jiʔį̄+1	2	eaten food	jiʔį̄+NP	
Zenzontepec Chatino	1	EAT	y-aku	Derived	eV' 3 jiʔį̄+2 jiʔį̄+1	3	eat causer/feeder	Ø	
Zenzontepec Chatino	1	EAT	y-aku	Derived	V' 1	1	eater	Ø	
Zenzontepec Chatino	1	EAT	y-aku	Derived	yV' 2	2	eaten food	Ø	
Zenzontepec Chatino	2	HUG	nk-y-uʔu-xiiʔ	Basic	V 1 jiʔį̄+2	1	hugger	Ø	A
Zenzontepec Chatino	2	HUG	nk-y-uʔu-xiiʔ	Basic	V 1 jiʔį̄+2	2	huggee	jiʔį̄+NP	P
Zenzontepec Chatino	2	HUG	nkā-tūkwá-xiiʔ	Basic	V 1 jiʔį̄+2	1	hugger	Ø	A
Zenzontepec Chatino	2	HUG	nkā-tūkwá-xiiʔ	Basic	V 1 jiʔį̄+2	2	huggee	jiʔį̄+NP	P
Zenzontepec Chatino	3	LOOK AT	nkā-naʔa	Basic	V 1 jiʔį̄+2	1	looker	Ø	A
Zenzontepec Chatino	3	LOOK AT	nkā-naʔa	Basic	V 1 jiʔį̄+2	2	looked at entity	jiʔį̄+NP	P
Zenzontepec Chatino	3	LOOK AT	nkā-naʔa	Derived	V' 1	1	looker	Ø	
Zenzontepec Chatino	3	LOOK AT	nkā-naʔa	Derived	V' 2	2	looked at entity	Ø	
Zenzontepec Chatino	4	SEE	nkā-naʔa	Basic	V 1 jiʔį̄+2	1	seeer	Ø	A
Zenzontepec Chatino	4	SEE	nkā-naʔa	Basic	V 1 jiʔį̄+2	2	seen entity	jiʔį̄+NP	P
Zenzontepec Chatino	4	SEE	nkā-naʔa	Derived	V' 1	1	seeer	Ø	
Zenzontepec Chatino	4	SEE	nkā-naʔa	Derived	V' 2	2	seen entity	Ø	
Zenzontepec Chatino	5	SMELL	y-ukwęʔ	Basic	V 1 jiʔį̄+2	1	smeller	Ø	A
Zenzontepec Chatino	5	SMELL	y-ukwęʔ	Basic	V 1 jiʔį̄+2	2	smelled entity	jiʔį̄+NP	P
Zenzontepec Chatino	5	SMELL	y-ukwęʔ	Derived	eV' 3 jiʔį̄+2 jiʔį̄+1	1	smeller	jiʔį̄+NP	
Zenzontepec Chatino	5	SMELL	y-ukwęʔ	Derived	eV' 3 jiʔį̄+2 jiʔį̄+1	2	smelled entity	jiʔį̄+NP	
Zenzontepec Chatino	5	SMELL	y-ukwęʔ	Derived	eV' 3 jiʔį̄+2 jiʔį̄+1	3	smell causer	Ø	
Zenzontepec Chatino	6	FEAR	y-utzę	Basic	V 1 jiʔį̄+2	1	fearer	Ø	A
Zenzontepec Chatino	6	FEAR	y-utzę	Basic	V 1 jiʔį̄+2	2	fear stimulus	jiʔį̄+NP	P
Zenzontepec Chatino	6	FEAR	y-utzę	Derived	eV' 3 jiʔį̄+2 jiʔį̄+1	1	fearer	jiʔį̄+NP	
Zenzontepec Chatino	6	FEAR	y-utzę	Derived	eV' 3 jiʔį̄+2 jiʔį̄+1	2	fear stimulus	jiʔį̄+NP	
Zenzontepec Chatino	6	FEAR	y-utzę	Derived	eV' 3 jiʔį̄+2 jiʔį̄+1	3	fear causer	Ø	
Zenzontepec Chatino	6	FEAR	y-utzę	Derived	V' 1	1	fearer	Ø	
Zenzontepec Chatino	7	FRIGHTEN	nkw-ē-k-utzę	Basic	V 1 jiʔį̄+2	1	frightener	Ø	A
Zenzontepec Chatino	7	FRIGHTEN	nkw-ē-k-utzę	Basic	V 1 jiʔį̄+2	2	frightenee	jiʔį̄+NP	P
